,Time (d),COD_meas_Pearson_NPC (gCOD/m3),COD_pred_Pearson_NPC (gCOD/m3)
0,487.25,37.911277596,38.070873
1,487.2916667,37.891506705,37.95304
2,487.33333330000005,37.973317531999996,37.919094
3,487.375,38.060613131,37.98135
4,487.4166667,38.228022505,38.125454
5,487.45833330000005,38.381224021,38.45616
6,487.5,38.529778166999996,38.801254
7,487.5416667,38.638279944000004,39.07145
8,487.58333330000005,38.705293252,39.2492
9,487.625,38.804320137000005,39.365807
10,487.6666667,38.979106561,39.490204
11,487.70833330000005,39.179158069,39.660835
12,487.75,39.381059801999996,39.8524
13,487.7916667,39.760759165,40.068367
14,487.83333330000005,40.347112008,40.42848
15,487.875,40.820578808,40.936935
16,487.9166667,41.437651246,41.35966
17,487.95833330000005,42.080315799,41.876095
18,488.0,42.489764493,42.396706
19,488.0416667,42.79794487699999,42.734333
20,488.08333330000005,43.210663741,42.982994
21,488.125,43.83824916,43.295567
22,488.1666667,44.303823224000006,43.76382
23,488.20833330000005,44.5898179,44.103764
24,488.25,44.838633587,44.3018
25,488.2916667,45.074347909,44.465393
26,488.33333330000005,45.342934681,44.615616
27,488.375,45.768447336,44.80013
28,488.4166667,46.408753373,45.148438
29,488.45833330000005,46.871368931000006,45.73566
30,488.5,47.038661108,46.20458
31,488.5416667,47.220734513000004,46.41062
32,488.58333330000005,47.459300717000005,46.59433
33,488.625,47.54781711,46.799484
34,488.6666667,47.479969058,46.86754
35,488.70833330000005,47.375545482,46.799442
36,488.75,47.444303255,46.698524
37,488.7916667,47.739024519,46.751057
38,488.83333330000005,48.265605913,47.00448
39,488.875,48.364115403999996,47.460625
40,488.9166667,48.483388356999995,47.55146
41,488.95833330000005,48.307638461,47.655224
42,489.0,48.012753159,47.495792
43,489.0416667,47.984307423999994,47.230972
44,489.08333330000005,47.806851508,47.179848
45,489.125,47.499364653,46.98902
46,489.1666667,47.267680095,46.682465
47,489.20833330000005,46.913402956999995,46.43064
48,489.25,46.468841952000005,46.067135
49,489.2916667,46.044177535,45.624435
50,489.33333330000005,45.815591263,45.193935
51,489.375,45.500397863,44.93097
52,489.4166667,45.632051415,44.640762
53,489.45833330000005,45.514049133,44.805126
54,489.5,45.171348215,44.79196
55,489.5416667,44.79490474799999,44.57366
56,489.58333330000005,44.479512733000014,44.29543
57,489.625,44.152719749,44.044426
58,489.6666667,43.790936161000005,43.771618
59,489.70833330000005,43.404093883,43.465042
60,489.75,42.981938796,43.13915
61,489.7916667,42.906650398000004,42.80385
62,489.83333330000005,42.828597824,42.758984
63,489.875,42.514245046,42.71782
64,489.9166667,42.199908666999995,42.496124
65,489.95833330000005,41.871499996,42.269753
66,490.0,41.409351833,42.023155
67,490.0416667,40.967161497,41.67099
68,490.08333330000005,40.695447038000005,41.33147
69,490.125,40.44823561,41.11281
70,490.1666667,40.151735579000004,40.906925
71,490.20833330000005,39.820531594,40.663757
72,490.25,39.51041319,40.395733
73,490.2916667,39.33585673899999,40.144638
74,490.33333330000005,39.378863099,39.99285
75,490.375,39.5253987,40.01139
76,490.4166667,39.746977094,40.166367
77,490.45833330000005,39.835434512000006,40.47601
78,490.5,39.722100266999995,40.718193
79,490.5416667,39.579422936,40.781403
80,490.58333330000005,39.46794063,40.785954
81,490.625,39.467293946,40.78943
82,490.6666667,39.514895859000006,40.856205
83,490.70833330000005,39.56561599700001,40.949966
84,490.75,39.604202698,41.04829
85,490.7916667,39.713192858,41.153366
86,490.83333330000005,40.078802126999996,41.31486
87,490.875,40.392082681,41.642895
88,490.9166667,40.480247023000004,41.93409
89,490.95833330000005,40.533460506,42.073193
90,491.0,40.638273162,42.17637
91,491.0416667,40.76118176,42.297745
92,491.08333330000005,40.917273335,42.421
93,491.125,41.139575522,42.559032
94,491.1666667,41.35294229,42.734573
95,491.20833330000005,41.51711297700001,42.9001
96,491.25,41.72537305200001,43.030003
97,491.2916667,41.952991645,43.186146
98,491.33333330000005,42.141648323000005,43.35306
99,491.375,42.42964511699999,43.499203
100,491.4166667,42.89510484,43.73305
101,491.45833330000005,43.401123455,44.103092
102,491.5,43.821255466999986,44.511265
103,491.5416667,44.16392927099999,44.876244
104,491.58333330000005,44.47587582999999,45.189983
105,491.625,44.82058562899999,45.470448
106,491.6666667,45.136386806000004,45.76386
107,491.70833330000005,45.530044421999996,46.028927
108,491.75,45.96673931,46.35448
109,491.7916667,46.449045565,46.710606
110,491.83333330000005,46.979078429,47.103573
111,491.875,47.445621946,47.539616
112,491.9166667,47.85424125,47.93632
113,491.95833330000005,48.13286302,48.292355
114,492.0,48.410755043,48.54044
115,492.0416667,48.818691811,48.78624
116,492.08333330000005,49.23782071200001,49.1354
117,492.125,49.524366054000005,49.492714
118,492.1666667,49.82076332,49.73974
119,492.20833330000005,50.109168191,49.995346
120,492.25,50.411682717000005,50.23595
121,492.2916667,50.74797399,50.487305
122,492.33333330000005,51.10858712499999,50.76445
123,492.375,51.56273755800001,51.061726
124,492.4166667,52.185984625,51.433487
125,492.45833330000005,52.644611435,51.93707
126,492.5,52.97157893600001,52.323902
127,492.5416667,53.34581000399999,52.646782
128,492.58333330000005,53.66787896899999,53.01766
129,492.625,53.881291309000005,53.325684
130,492.6666667,54.07202668000001,53.52543
131,492.70833330000005,54.244524866000006,53.699604
132,492.75,54.47803019799999,53.8508
133,492.7916667,55.113697380999994,54.051743
134,492.83333330000005,55.63820916200002,54.62308
135,492.875,56.06072790700001,55.101604
136,492.9166667,56.35016964600001,55.506004
137,492.95833330000005,56.68722307,55.783703
138,493.0,57.006203899,56.099895
139,493.0416667,57.163769343,56.386784
140,493.08333330000005,57.180290066000005,56.515293
141,493.125,57.059560319999996,56.503128
142,493.1666667,56.957997029999994,56.351067
143,493.20833330000005,56.897477406,56.206757
144,493.25,56.719118077,56.091564
145,493.2916667,56.445648186000014,55.86144
146,493.33333330000005,56.467174078999996,55.54216
147,493.375,56.591222175999995,55.498272
148,493.4166667,56.526750164000006,55.563126
149,493.45833330000005,56.38428349499999,55.522884
150,493.5,55.82276778200001,55.501423
151,493.5416667,55.22592363399999,55.13259
152,493.58333330000005,54.76173274,54.74323
153,493.625,54.38449444399999,54.45232
154,493.6666667,54.040895402,54.2036
155,493.70833330000005,53.912826179,53.961437
156,493.75,53.528322189,53.904568
157,493.7916667,53.073047996,53.59885
158,493.83333330000005,52.967638099,53.253887
159,493.875,52.956715364,53.23594
160,493.9166667,52.943246548999994,53.26427
161,493.95833330000005,52.97721405,53.272377
162,494.0,53.166708136000004,53.332054
163,494.0416667,53.336694946,53.535816
164,494.08333330000005,53.310046338,53.702053
165,494.125,53.298674712,53.674217
166,494.1666667,53.145974625,53.65437
167,494.20833330000005,52.77200968,53.47396
168,494.25,52.27932933,53.057617
169,494.2916667,51.754298906,52.496586
170,494.33333330000005,51.366037713000004,51.855164
171,494.375,50.858106048,51.28485
172,494.4166667,50.424454173,50.601696
173,494.45833330000005,49.49430613999999,50.058506
174,494.5,48.61995292899999,49.16389
175,494.5416667,47.55390847100001,48.34372
176,494.58333330000005,46.777544357,47.338318
177,494.625,46.245376607,46.557625
178,494.6666667,45.587708698,45.961105
179,494.70833330000005,44.886810276000006,45.268543
180,494.75,44.274777043,44.560978
181,494.7916667,43.980185005,43.952675
182,494.83333330000005,43.820205648000005,43.625053
183,494.875,43.469247454000005,43.422195
184,494.9166667,42.963787121999985,43.082394
185,494.95833330000005,42.544834339000005,42.63028
186,495.0,41.944023059,42.245407
