,Time (d),COD_meas_Pearson (gCOD/m3),COD_pred_Pearson (gCOD/m3)
0,487.2291667,37.958247818000004,37.586956
1,487.25,37.911277596,37.515434
2,487.27083330000005,37.889701437,37.472473
3,487.2916667,37.891506705,37.452057
4,487.3125,37.922355144,37.45318
5,487.33333330000005,37.973317531999996,37.482296
6,487.3541667,38.018563285999996,37.53737
7,487.375,38.060613131,37.602478
8,487.39583330000005,38.13039895,37.69013
9,487.4166667,38.228022505,37.83689
10,487.4375,38.315271122000006,38.02695
11,487.45833330000005,38.381224021,38.19948
12,487.4791667,38.450552416,38.32442
13,487.5,38.529778166999996,38.415337
14,487.52083330000005,38.595517681,38.48802
15,487.5416667,38.638279944000004,38.536686
16,487.5625,38.670491894,38.562634
17,487.58333330000005,38.705293252,38.581318
18,487.6041667,38.748211172000005,38.606205
19,487.625,38.804320137000005,38.64259
20,487.64583330000005,38.882003939,38.6942
21,487.6666667,38.979106561,38.767593
22,487.6875,39.081303329,38.860912
23,487.70833330000005,39.179158069,38.961483
24,487.7291667,39.273212416999996,39.06345
25,487.75,39.381059801999996,39.170677
26,487.77083330000005,39.53736391,39.298515
27,487.7916667,39.760759165,39.47636
28,487.8125,40.043684346,39.718185
29,487.83333330000005,40.347112008,40.01466
30,487.8541667,40.60281407100001,40.32978
31,487.875,40.820578808,40.59767
32,487.89583330000005,41.090317454,40.82442
33,487.9166667,41.437651246,41.097317
34,487.9375,41.78619116,41.446644
35,487.95833330000005,42.080315799,41.79897
36,487.9791667,42.309116496,42.098125
37,488.0,42.489764493,42.33201
38,488.02083330000005,42.644279305,42.516872
39,488.0416667,42.79794487699999,42.67425
40,488.0625,42.97888576,42.828983
41,488.08333330000005,43.210663741,43.009365
42,488.1041667,43.510486952,43.239567
43,488.125,43.83824916,43.537643
44,488.14583330000005,44.109468771,43.86386
45,488.1666667,44.303823224000006,44.132023
46,488.1875,44.455227108,44.321354
47,488.20833330000005,44.5898179,44.466507
48,488.2291667,44.716790083,44.59385
49,488.25,44.838633587,44.712578
50,488.27083330000005,44.95661534,44.825233
51,488.2916667,45.074347909,44.93318
52,488.3125,45.198908087,45.040504
53,488.33333330000005,45.342934681,45.154976
54,488.3541667,45.528498466,45.291935
55,488.375,45.768447336,45.47684
56,488.39583330000005,46.07629796000001,45.731487
57,488.4166667,46.408753373,46.076466
58,488.4375,46.68406550499999,46.455086
59,488.45833330000005,46.871368931000006,46.769886
60,488.4791667,46.975582348,46.981903
61,488.5,47.038661108,47.09442
62,488.52083330000005,47.11453045100001,47.153053
63,488.5416667,47.220734513000004,47.215843
64,488.5625,47.346642683,47.304417
65,488.58333330000005,47.459300717000005,47.411007
66,488.6041667,47.528219261000004,47.506115
67,488.625,47.54781711,47.56218
68,488.64583330000005,47.52729131300001,47.573906
69,488.6666667,47.479969058,47.549187
70,488.6875,47.420353823999996,47.499523
71,488.70833330000005,47.375545482,47.43793
72,488.7291667,47.380249092,47.39137
73,488.75,47.444303255,47.39454
74,488.77083330000005,47.559672283999994,47.457027
75,488.7916667,47.739024519,47.570118
76,488.8125,48.00707313,47.741364
77,488.83333330000005,48.265605913,47.989376
78,488.8541667,48.361240714,48.224632
79,488.875,48.364115403999996,48.311047
80,488.89583330000005,48.416783566999996,48.31254
81,488.9166667,48.483388356999995,48.356045
82,488.9375,48.444329038000014,48.41026
83,488.95833330000005,48.307638461,48.3697
84,488.9791667,48.140823381000004,48.241825
85,489.0,48.012753159,48.08557
86,489.02083330000005,47.97946241,47.960724
87,489.0416667,47.984307423999994,47.917675
88,489.0625,47.929242588,47.906822
89,489.08333330000005,47.806851508,47.84092
90,489.1041667,47.651006947,47.713825
91,489.125,47.499364653,47.555244
92,489.14583330000005,47.380986033999996,47.39807
93,489.1666667,47.267680095,47.268646
94,489.1875,47.111457602,47.14217
95,489.20833330000005,46.913402956999995,46.975166
96,489.2291667,46.695153122,46.76837
97,489.25,46.468841952000005,46.54095
98,489.27083330000005,46.24104599700001,46.303356
99,489.2916667,46.044177535,46.06152
100,489.3125,45.920074308000004,45.84683
101,489.33333330000005,45.815591263,45.70148
102,489.3541667,45.648408273,45.580204
103,489.375,45.500397863,45.4089
104,489.39583330000005,45.52314876,45.276295
105,489.4166667,45.632051415,45.3369
106,489.4375,45.63329171,45.49376
107,489.45833330000005,45.514049133,45.54189
108,489.4791667,45.349214761000006,45.45874
109,489.5,45.171348215,45.31243
110,489.52083330000005,44.981922931999996,45.139217
111,489.5416667,44.79490474799999,44.9468
112,489.5625,44.63024553899999,44.752934
113,489.58333330000005,44.479512733000014,44.579273
114,489.6041667,44.322108703000005,44.418804
115,489.625,44.152719749,44.251667
116,489.64583330000005,43.974383895,44.072456
117,489.6666667,43.790936161000005,43.8838
118,489.6875,43.60417807899999,43.689255
119,489.70833330000005,43.404093883,43.49081
120,489.7291667,43.178642243,43.28135
121,489.75,42.981938796,43.05148
122,489.77083330000005,42.900263766,42.855614
123,489.7916667,42.906650398000004,42.78029
124,489.8125,42.898250475,42.795998
125,489.83333330000005,42.828597824,42.795662
126,489.8541667,42.689864308000004,42.731464
127,489.875,42.514245046,42.595364
128,489.89583330000005,42.348776122,42.41945
129,489.9166667,42.199908666999995,42.251316
130,489.9375,42.047703352000006,42.098087
131,489.95833330000005,41.871499996,41.94021
132,489.9791667,41.653361545,41.75783
133,490.0,41.409351833,41.533516
134,490.02083330000005,41.172208072,41.283585
135,490.0416667,40.967161497,41.04092
136,490.0625,40.813034376,40.830223
137,490.08333330000005,40.695447038000005,40.669746
138,490.1041667,40.579100486,40.545456
139,490.125,40.44823561,40.422543
140,490.14583330000005,40.30466040099999,40.28584
141,490.1666667,40.151735579000004,40.13758
142,490.1875,39.988794576,39.981503
143,490.20833330000005,39.820531594,39.817272
144,490.2291667,39.656575025,39.649525
145,490.25,39.51041319,39.487476
146,490.27083330000005,39.399310250999996,39.34338
147,490.2916667,39.33585673899999,39.232895
148,490.3125,39.331857486,39.167854
149,490.33333330000005,39.378863099,39.160366
150,490.3541667,39.447089034,39.208122
151,490.375,39.5253987,39.28958
152,490.39583330000005,39.630047588000004,39.404266
153,490.4166667,39.746977094,39.57688
154,490.4375,39.823161284,39.779655
155,490.45833330000005,39.835434512000006,39.93819
156,490.4791667,39.793254803,40.01376
157,490.5,39.722100266999995,40.009098
158,490.52083330000005,39.647018258,39.9548
159,490.5416667,39.579422936,39.885082
160,490.5625,39.517568577,39.819332
161,490.58333330000005,39.46794063,39.760258
162,490.6041667,39.450707756999996,39.71435
163,490.625,39.467293946,39.699524
164,490.64583330000005,39.49356356399999,39.717705
165,490.6666667,39.514895859000006,39.74729
166,490.6875,39.537811479,39.774086
