,Time (d),PO4_meas_Pearson_NPC (gP/m3),PO4_pred_Pearson_NPC (gP/m3)
0,487.23958330000005,0.025794812000000004,0.24062054
1,487.2916667,0.027532745,0.24227181
2,487.34375,0.029979184,0.24307463
3,487.39583330000005,0.03302118,0.27469453
4,487.4479167,0.036479837,0.38145098
5,487.5,0.040290973,0.45942646
6,487.55208330000005,0.045406126,0.49417484
7,487.6041667,0.056043412,0.5182043
8,487.65625,0.08049453599999998,0.534315
9,487.70833330000005,0.124195134,0.5469587
10,487.7604167,0.184578187,0.5779454
11,487.8125,0.256548639,0.6437978
12,487.86458330000005,0.332283415,0.6940016
13,487.9166667,0.404300872,0.73513716
14,487.96875,0.467173588,0.76737845
15,488.02083330000005,0.517082087,0.7892949
16,488.0729167,0.557791103,0.8131294
17,488.125,0.596586004,0.8268452
18,488.17708330000005,0.640143772,0.8271233
19,488.2291667,0.691245094,0.8326433
20,488.28125,0.7483215360000001,0.84753036
21,488.33333330000005,0.809861556,0.86893713
22,488.3854167,0.877574108,0.910447
23,488.4375,0.9517824500000001,1.0078846
24,488.48958330000005,1.023012654,1.1002091
25,488.5416667,1.073123374,1.1695969
26,488.59375,1.079955317,1.209392
27,488.64583330000005,1.037455252,1.2004583
28,488.6979167,0.963427161,1.1495293
29,488.75,0.8800504790000001,1.0790203
30,488.80208330000005,0.8052613609999999,1.0138023
31,488.8541667,0.7487791359999998,0.9413241
32,488.90625,0.702720783,0.8736467
33,488.95833330000005,0.646956775,0.81982416
34,489.0104167,0.582023756,0.7633906
35,489.0625,0.525734758,0.7087108
36,489.11458330000005,0.49417237,0.65260607
37,489.1666667,0.484765229,0.6167702
38,489.21875,0.487418281,0.59432673
39,489.27083330000005,0.499823887,0.5816169
40,489.3229167,0.520487665,0.5776669
41,489.375,0.5472768579999999,0.5849948
42,489.42708330000005,0.5768722079999999,0.6463545
43,489.4791667,0.599746994,0.70678645
44,489.53125,0.599580287,0.74544436
45,489.58333330000005,0.562447983,0.7591237
46,489.6354167,0.501744203,0.7331173
47,489.6875,0.44303689,0.68228066
