,Time (d),Biogas_meas_PCA (m3/d),Biogas_pred_PCA (m3/d)
115,489.625,13921.31353,13974.418
116,489.64583330000005,13906.296230000002,13958.718
117,489.6666667,13891.22036,13943.312
118,489.6875,13876.03676,13927.824
119,489.70833330000005,13860.92695,13911.993
120,489.7291667,13845.648480000002,13895.964
121,489.75,13830.43423,13879.216
122,489.77083330000005,13815.500569999998,13861.769
123,489.7916667,13800.6903,13844.53
124,489.8125,13785.89549,13829.131
125,489.83333330000005,13771.07879,13816.978
126,489.8541667,13756.20797,13806.949
127,489.875,13741.31238,13797.007
128,489.89583330000005,13726.42623,13785.914
129,489.9166667,13711.65259,13773.338
130,489.9375,13696.92346,13760.145
131,489.95833330000005,13682.0395,13747.364
132,489.9791667,13667.07807,13735.37
133,490.0,13652.022619999998,13724.308
134,490.02083330000005,13636.84672,13713.682
135,490.0416667,13621.71748,13702.851
136,490.0625,13606.29081,13691.753
137,490.08333330000005,13590.90224,13680.236
138,490.1041667,13575.438069999998,13669.001
139,490.125,13559.7445,13658.339
140,490.14583330000005,13543.60515,13647.96
141,490.1666667,13526.967669999998,13637.265
142,490.1875,13510.82457,13626.079
143,490.20833330000005,13493.93094,13615.348
144,490.2291667,13476.76228,13604.408
145,490.25,13458.75364,13593.952
146,490.27083330000005,13441.009069999998,13583.12
147,490.2916667,13423.13214,13571.897
148,490.3125,13405.13079,13559.061
149,490.33333330000005,13386.88266,13543.779
150,490.3541667,13368.47168,13524.582
151,490.375,13349.98796,13499.533
152,490.39583330000005,13331.30177,13471.3545
153,490.4166667,13312.47005,13446.81
154,490.4375,13294.03545,13430.536
155,490.45833330000005,13275.55189,13423.7705
156,490.4791667,13257.32845,13422.288
157,490.5,13239.10177,13421.136
158,490.52083330000005,13221.18312,13417.751
159,490.5416667,13203.4114,13412.458
160,490.5625,13185.79838,13406.251
161,490.58333330000005,13168.29149,13400.109
162,490.6041667,13151.00822,13394.622
163,490.625,13133.9665,13390.053
164,490.64583330000005,13117.11628,13385.761
165,490.6666667,13100.48268,13380.892
166,490.6875,13083.93924,13375.416
167,490.70833330000005,13067.66164,13369.577
168,490.7291667,13051.77381,13362.316
169,490.75,13036.0042,13351.852
170,490.77083330000005,13020.60437,13339.641
171,490.7916667,13005.78049,13329.998
172,490.8125,12991.77968,13324.2295
173,490.83333330000005,12978.3898,13320.339
174,490.8541667,12965.33891,13316.496
175,490.875,12952.49556,13312.657
176,490.89583330000005,12940.19432,13309.027
177,490.9166667,12927.62635,13305.525
178,490.9375,12916.19289,13301.231
179,490.95833330000005,12905.31307,13296.515
180,490.9791667,12895.41384,13291.659
181,491.0,12885.12792,13287.908
182,491.02083330000005,12875.84549,13285.134
183,491.0416667,12866.90652,13284.068
184,491.0625,12857.67572,13283.659
185,491.08333330000005,12849.89548,13282.675
186,491.1041667,12842.06065,13281.163
187,491.125,12834.52944,13277.978
188,491.14583330000005,12826.90707,13274.338
189,491.1666667,12819.89565,13271.572
190,491.1875,12812.09952,13270.029
191,491.20833330000005,12806.07973,13268.115
192,491.2291667,12799.87269,13266.914
193,491.25,12793.74312,13265.702
194,491.27083330000005,12787.84225,13264.6
195,491.2916667,12782.00064,13263.568
196,491.3125,12775.59823,13262.067
197,491.33333330000005,12770.05437,13258.902
198,491.3541667,12764.85666,13251.673
199,491.375,12759.93755,13236.327
200,491.39583330000005,12755.26963,13216.957
201,491.4166667,12751.48356,13203.256
202,491.4375,12747.56895,13200.363
203,491.45833330000005,12744.45554,13206.333
204,491.4791667,12741.23469,13216.886
205,491.5,12738.68622,13227.247
206,491.52083330000005,12736.07157,13235.85
207,491.5416667,12734.72811,13242.489
208,491.5625,12734.19608,13248.465
209,491.58333330000005,12732.49785,13254.06
210,491.6041667,12732.47254,13258.656
211,491.625,12733.43995,13263.674
212,491.64583330000005,12734.72455,13269.151
213,491.6666667,12735.6252,13275.174
214,491.6875,12736.97096,13280.371
215,491.70833330000005,12739.46777,13283.281
216,491.7291667,12742.9329,13283.61
217,491.75,12745.96268,13282.051
218,491.77083330000005,12749.08732,13281.211
219,491.7916667,12754.41852,13284.724
220,491.8125,12759.62186,13292.257
221,491.83333330000005,12764.84237,13299.739
222,491.8541667,12771.77058,13306.518
223,491.875,12779.10811,13313.928
224,491.89583330000005,12786.51881,13321.031
225,491.9166667,12794.22802,13327.076
226,491.9375,12802.66671,13332.922
227,491.95833330000005,12810.76301,13339.891
228,491.9791667,12820.27196,13347.181
229,492.0,12829.40235,13354.587
230,492.02083330000005,12841.52511,13360.619
231,492.0416667,12852.6394,13366.914
232,492.0625,12862.4025,13371.853
233,492.08333330000005,12875.18501,13375.669
234,492.1041667,12886.05421,13380.911
235,492.125,12897.51194,13385.383
236,492.14583330000005,12910.1491,13390.334
237,492.1666667,12922.3695,13395.592
238,492.1875,12934.22742,13400.38
239,492.20833330000005,12946.23346,13405.347
240,492.2291667,12958.70343,13410.706
241,492.25,12969.91959,13415.975
242,492.27083330000005,12984.10587,13420.028
243,492.2916667,12994.87812,13425.661
244,492.3125,13008.20953,13429.29
245,492.33333330000005,13019.34253,13433.886
246,492.3541667,13032.97547,13435.393
247,492.375,13045.29493,13435.593
248,492.39583330000005,13058.12126,13435.438
249,492.4166667,13071.22906,13440.829
250,492.4375,13083.33221,13453.278
251,492.45833330000005,13096.64915,13470.591
252,492.4791667,13109.42005,13489.482
253,492.5,13122.76607,13504.865
254,492.52083330000005,13136.1013,13517.111
255,492.5416667,13150.48351,13527.393
256,492.5625,13165.34122,13537.773
257,492.58333330000005,13179.493,13548.549
258,492.6041667,13193.42719,13559.079
259,492.625,13207.41639,13569.545
260,492.64583330000005,13220.74082,13579.708
261,492.6666667,13236.69584,13588.664
262,492.6875,13251.30871,13598.26
263,492.70833330000005,13265.37058,13606.037
264,492.7291667,13280.87783,13612.593
265,492.75,13294.98234,13619.345
266,492.77083330000005,13310.6638,13624.422
267,492.7916667,13327.04193,13629.545
268,492.8125,13344.09921,13635.005
269,492.83333330000005,13359.9753,13642.329
270,492.8541667,13376.86965,13649.869
271,492.875,13393.68062,13657.608
272,492.89583330000005,13410.30554,13664.529
273,492.9166667,13428.755330000002,13671.2
274,492.9375,13445.42088,13678.609
275,492.95833330000005,13465.04151,13683.018
276,492.9791667,13483.38838,13687.661
277,493.0,13501.66557,13689.967
278,493.02083330000005,13522.37117,13691.529
279,493.0416667,13541.25916,13694.905
280,493.0625,13558.67314,13697.099
281,493.08333330000005,13578.323019999998,13698.513
282,493.1041667,13597.8379,13702.538
283,493.125,13617.20979,13707.608
284,493.14583330000005,13636.4947,13713.554
285,493.1666667,13655.68295,13720.046
286,493.1875,13674.72241,13727.009
287,493.20833330000005,13694.908919999998,13734.507
288,493.2291667,13712.76226,13744.239
289,493.25,13730.37398,13753.358
290,493.27083330000005,13747.99732,13763.862
291,493.2916667,13765.27288,13775.788
292,493.3125,13781.90881,13787.887
293,493.33333330000005,13798.91776,13799.063
294,493.3541667,13815.066380000002,13812.565
295,493.375,13831.215369999998,13828.983
296,493.39583330000005,13847.05746,13849.18
297,493.4166667,13863.16867,13873.3545
298,493.4375,13879.84734,13899.596
299,493.45833330000005,13897.567030000002,13925.399
300,493.4791667,13915.01719,13951.816
301,493.5,13933.40519,13979.198
302,493.52083330000005,13954.30601,14007.742
303,493.5416667,13975.06088,14036.664
304,493.5625,13998.37592,14062.297
305,493.58333330000005,14021.40073,14087.653
306,493.6041667,14044.59789,14111.002
307,493.625,14068.57219,14133.799
308,493.64583330000005,14094.92154,14157.606
309,493.6666667,14124.73844,14184.623
310,493.6875,14153.616730000002,14215.631
311,493.70833330000005,14184.01425,14245.88
312,493.7291667,14216.84067,14280.66
