,Time (d),NH4_meas_PCA (gNm3),NH4_pred_PCA (gN/m3)
0,487.2291667,0.691439232,0.6573571
1,487.25,0.682954153,0.65179354
2,487.27083330000005,0.673170198,0.64563906
3,487.2916667,0.662235437,0.6388296
4,487.3125,0.650344402,0.63106716
5,487.33333330000005,0.637697683,0.62198913
6,487.3541667,0.624648958,0.61017656
7,487.375,0.611490514,0.594582
8,487.39583330000005,0.5984413120000001,0.577928
9,487.4166667,0.585766892,0.5638173
10,487.4375,0.573789981,0.5534431
11,487.45833330000005,0.5627519529999999,0.54609436
12,487.4791667,0.5528415870000001,0.5404318
13,487.5,0.544314772,0.5355722
14,487.52083330000005,0.537544069,0.5312378
15,487.5416667,0.532883772,0.5275335
16,487.5625,0.5306404029999999,0.52486897
17,487.58333330000005,0.531022374,0.52376354
18,487.6041667,0.534066869,0.52457285
19,487.625,0.539581552,0.5273921
20,487.64583330000005,0.547161522,0.53213614
21,487.6666667,0.556232961,0.53858435
22,487.6875,0.566136214,0.5460437
23,487.70833330000005,0.576252881,0.55353975
24,487.7291667,0.586104175,0.5602479
25,487.75,0.595408856,0.5657301
26,487.77083330000005,0.6040657739999999,0.5707013
27,487.7916667,0.612039413,0.5764357
28,487.8125,0.619317228,0.5833621
29,487.83333330000005,0.625844898,0.5911096
30,487.8541667,0.631580735,0.5986905
31,487.875,0.636669721,0.6050085
32,487.89583330000005,0.64147614,0.6104188
33,487.9166667,0.646495191,0.616461
34,487.9375,0.652216418,0.6237657
35,487.95833330000005,0.658989878,0.63173735
36,487.9791667,0.667007906,0.63986164
37,488.0,0.676458173,0.6480553
38,488.02083330000005,0.687624603,0.65672773
39,488.0416667,0.7008135670000001,0.6664748
40,488.0625,0.716154792,0.67791635
41,488.08333330000005,0.733407171,0.6915095
42,488.1041667,0.7519121040000001,0.70739675
43,488.125,0.7705588659999999,0.7253147
44,488.14583330000005,0.7880715559999999,0.7437149
45,488.1666667,0.803647378,0.7604115
46,488.1875,0.8172032349999999,0.77459764
47,488.20833330000005,0.82920046,0.7867552
48,488.2291667,0.84023715,0.79760003
49,488.25,0.850572515,0.8076572
50,488.27083330000005,0.859879951,0.81710756
51,488.2916667,0.8673606959999999,0.8256672
52,488.3125,0.872092986,0.8323417
53,488.33333330000005,0.8733581309999999,0.8358925
54,488.3541667,0.870656278,0.8342052
