,Time (d),NH4_meas_PCA_GA (gNm3),NH4_pred_PCA_GA (gN/m3)
0,487.23958330000005,0.687365399,0.6284508
1,487.2916667,0.662235437,0.61600953
2,487.34375,0.631201886,0.59910244
3,487.39583330000005,0.5984413120000001,0.569399
4,487.4479167,0.568142072,0.53379613
5,487.5,0.544314772,0.5295314
6,487.55208330000005,0.5314438779999999,0.52100295
7,487.6041667,0.534066869,0.50812125
8,487.65625,0.551551103,0.508119
9,487.70833330000005,0.576252881,0.52277064
10,487.7604167,0.59982096,0.54044
11,487.8125,0.619317228,0.55509514
12,487.86458330000005,0.6341879570000001,0.57835704
13,487.9166667,0.646495191,0.59882885
14,487.96875,0.662833471,0.6156563
15,488.02083330000005,0.687624603,0.6359342
16,488.0729167,0.7245729009999999,0.6597034
17,488.125,0.7705588659999999,0.6933204
18,488.17708330000005,0.81065769,0.7374543
19,488.2291667,0.84023715,0.7749347
20,488.28125,0.863898864,0.8028444
21,488.33333330000005,0.8733581309999999,0.82553387
22,488.3854167,0.8592373470000001,0.83038247
23,488.4375,0.824408677,0.8085969
24,488.48958330000005,0.787573449,0.8040534
25,488.5416667,0.77891835,0.79047006
26,488.59375,0.814130738,0.7860456
27,488.64583330000005,0.8756131800000001,0.8173471
28,488.6979167,0.9418905499999999,0.8675549
29,488.75,0.99463871,0.9164808
30,488.80208330000005,1.012599725,0.95302945
31,488.8541667,0.997337477,0.97692174
32,488.90625,0.9945045180000001,0.9786278
33,488.95833330000005,1.045155908,0.98347
34,489.0104167,1.120053184,1.0258286
35,489.0625,1.169276102,1.0843977
36,489.11458330000005,1.158888974,1.1262794
37,489.1666667,1.106722723,1.1189038
38,489.21875,1.029074655,1.0796008
39,489.27083330000005,0.9311891200000001,1.0187176
40,489.3229167,0.824759496,0.9405112
41,489.375,0.72121574,0.85287005
42,489.42708330000005,0.631948395,0.7502929
43,489.4791667,0.568912961,0.69241154
44,489.53125,0.54055197,0.6559137
45,489.58333330000005,0.544480554,0.631929
46,489.6354167,0.561595164,0.6313803
47,489.6875,0.57601745,0.64123476
48,489.73958330000005,0.581504355,0.64633393
49,489.7916667,0.5765229270000001,0.6373175
50,489.84375,0.562548334,0.63085383
51,489.89583330000005,0.5477429629999999,0.6218062
52,489.9479167,0.540667694,0.6073225
53,490.0,0.538422744,0.59832203
54,490.05208330000005,0.53607417,0.59123534
55,490.1041667,0.531726015,0.5850993
56,490.15625,0.52461943,0.5801134
57,490.20833330000005,0.51645068,0.57202584
58,490.2604167,0.509049881,0.56243813
59,490.3125,0.502473736,0.553307
60,490.36458330000005,0.496011915,0.5440765
61,490.4166667,0.48922505999999993,0.51785386
62,490.46875,0.48278154,0.5078808
63,490.52083330000005,0.478296655,0.5190827
64,490.5729167,0.47778649700000003,0.5167456
65,490.625,0.482043578,0.5129707
66,490.67708330000005,0.489891866,0.51632315
67,490.7291667,0.49926427100000004,0.52310526
68,490.78125,0.5087314820000001,0.52484804
69,490.83333330000005,0.517965456,0.5282316
70,490.8854167,0.526082874,0.5423199
71,490.9375,0.53273785,0.55336666
72,490.98958330000005,0.539814814,0.558823
73,491.0416667,0.5483710820000001,0.5656018
74,491.09375,0.557543538,0.57441896
75,491.14583330000005,0.5662580389999999,0.5839292
76,491.1979167,0.5737199820000001,0.59308344
77,491.25,0.579865895,0.60045224
78,491.30208330000005,0.5849063760000001,0.6071011
79,491.3541667,0.588709143,0.6110982
80,491.40625,0.591236739,0.6000699
81,491.45833330000005,0.592220314,0.5919073
82,491.5104167,0.59151772,0.61303425
83,491.5625,0.590846381,0.62537736
84,491.61458330000005,0.593399636,0.62723845
85,491.6666667,0.601214404,0.6327644
86,491.71875,0.614055095,0.6434879
87,491.77083330000005,0.630236561,0.6541455
88,491.8229167,0.647993731,0.6653571
89,491.875,0.666620487,0.6875824
90,491.92708330000005,0.6881876090000001,0.7105415
91,491.9791667,0.716662913,0.73279047
92,492.03125,0.7551253970000001,0.75943506
93,492.08333330000005,0.799855016,0.79680616
94,492.1354167,0.8410651159999999,0.8401797
95,492.1875,0.876947325,0.87802756
96,492.23958330000005,0.908734135,0.91215223
97,492.2916667,0.932162163,0.9425753
98,492.34375,0.9411926520000001,0.96544296
99,492.39583330000005,0.9341059529999999,0.96293426
100,492.4479167,0.9143557090000001,0.93915755
101,492.5,0.892968049,0.9456417
102,492.55208330000005,0.8905327159999998,0.9457556
103,492.6041667,0.924493658,0.9504926
104,492.65625,0.9935091690000001,0.98430586
105,492.70833330000005,1.085980847,1.0468485
106,492.7604167,1.180648134,1.1225257
107,492.8125,1.2567242159999998,1.1971694
108,492.86458330000005,1.307381334,1.274944
109,492.9166667,1.389046109,1.3296248
110,492.96875,1.577190285,1.406412
111,493.02083330000005,1.8690972129999999,1.5747714
112,493.0729167,2.2041351409999996,1.8332494
113,493.125,2.5331052409999995,2.1293411
114,493.17708330000005,2.803434254,2.4186428
115,493.2291667,2.949109988,2.6566935
116,493.28125,2.938387882,2.7846713
117,493.33333330000005,2.798486447,2.7707024
118,493.3854167,2.552589081,2.6373298
119,493.4375,2.2530403869999995,2.4178677
120,493.48958330000005,2.0243227099999994,2.2192817
121,493.5416667,1.9780556669999996,2.0829797
122,493.59375,2.1116463640000003,2.0801928
123,493.64583330000005,2.300505141,2.2118244
124,493.6979167,2.468000905,2.3954566
125,493.75,2.603704824,2.5639076
126,493.80208330000005,2.7158675399999996,2.717136
127,493.8541667,2.813738177,2.8414567
128,493.90625,2.9199298429999994,2.9240115
129,493.95833330000005,3.110822347,3.0395238
