,Time (d),NH4_meas_GA (gN/m3),NH4_pred_GA (gN/m3)
0,487.30208330000005,0.656400324,0.46269208
1,487.375,0.611490514,0.45517576
2,487.4479167,0.568142072,0.55761397
3,487.52083330000005,0.537544069,0.61770296
4,487.59375,0.532218299,0.613738
5,487.6666667,0.556232961,0.6144764
6,487.73958330000005,0.590834052,0.6085231
7,487.8125,0.619317228,0.6256225
8,487.8854167,0.6390789060000001,0.6299681
9,487.95833330000005,0.658989878,0.6166689
10,488.03125,0.693950958,0.5881955
11,488.1041667,0.7519121040000001,0.5689299
12,488.17708330000005,0.81065769,0.53715956
13,488.25,0.850572515,0.5140346
14,488.3229167,0.873196603,0.505135
15,488.39583330000005,0.8535824519999999,0.5045175
16,488.46875,0.800680084,0.5476807
17,488.5416667,0.77891835,0.5661061
18,488.61458330000005,0.83704994,0.5855029
19,488.6875,0.9290347159999999,0.6101872
20,488.7604167,1.001543069,0.6163137
21,488.83333330000005,1.005297322,0.62021965
22,488.90625,0.994504518,0.7033479
23,488.9791667,1.075065778,0.7855762
24,489.05208330000005,1.163839604,0.8194064
25,489.125,1.150828122,0.91210353
26,489.1979167,1.063101123,0.9427041
27,489.27083330000005,0.9311891200000001,0.9587039
28,489.34375,0.782208859,0.8955195
29,489.4166667,0.647992548,0.76700234
30,489.48958330000005,0.5601993120000001,0.6533365
31,489.5625,0.5401113329999999,0.67168987
32,489.6354167,0.561595164,0.67391306
33,489.70833330000005,0.579434895,0.6638737
34,489.78125,0.578343696,0.6215415
35,489.8541667,0.5592644379999999,0.58557075
36,489.92708330000005,0.542539227,0.57690877
37,490.0,0.538422744,0.56500584
38,490.0729167,0.534659334,0.54864764
39,490.14583330000005,0.526208993,0.536633
40,490.21875,0.514884906,0.52459854
41,490.2916667,0.505049899,0.5164775
42,490.36458330000005,0.4960119150000001,0.5122737
43,490.4375,0.48652883900000005,0.552888
44,490.5104167,0.4789374870000001,0.6042476
45,490.58333330000005,0.47826788100000006,0.61663365
46,490.65625,0.486458992,0.6279565
47,490.7291667,0.499264271,0.63233274
48,490.80208330000005,0.512462465,0.64752096
49,490.875,0.524606178,0.66366315
50,490.9479167,0.534049338,0.66366774
51,491.02083330000005,0.544807755,0.6717251
52,491.09375,0.557543538,0.67395043
53,491.1666667,0.569417869,0.6734108
54,491.23958330000005,0.578724249,0.66942036
55,491.3125,0.585769529,0.6670318
56,491.3854167,0.590384227,0.66707844
57,491.45833330000005,0.592220314,0.6905649
58,491.53125,0.591074411,0.6976001
59,491.6041667,0.592493586,0.6946484
60,491.67708330000005,0.60340442,0.692052
61,491.75,0.623495651,0.68900156
62,491.8229167,0.647993731,0.68999493
63,491.89583330000005,0.6746821940000001,0.6909587
64,491.96875,0.710219066,0.68920463
65,492.0416667,0.763868112,0.68960524
66,492.11458330000005,0.825375371,0.6842528
67,492.1875,0.8769473249999999,0.67834085
68,492.2604167,0.919520543,0.6739493
69,492.33333330000005,0.940707182,0.6725889
70,492.40625,0.930935178,0.674301
71,492.4791667,0.900634701,0.6783109
72,492.55208330000005,0.890532716,0.6845192
73,492.625,0.948323068,0.70224005
74,492.6979167,1.066560796,0.7232206
75,492.77083330000005,1.19805742,0.74175024
76,492.84375,1.288185864,0.7600618
77,492.9166667,1.389046109,0.86871046
78,492.98958330000005,1.6846378119999998,1.0289966
79,493.0625,2.136216735,1.3312908
80,493.1354167,2.593908109,1.6557771
81,493.20833330000005,2.909459095,1.9125367
82,493.28125,2.9383878819999993,2.2197516
83,493.3541667,2.711756498,2.38601
84,493.42708330000005,2.3119372969999996,2.32262
85,493.5,1.9982788940000002,2.0803547
86,493.5729167,2.043774507,2.4260473
87,493.64583330000005,2.300505141,2.7508905
88,493.71875,2.5262749689999997,3.091033
89,493.7916667,2.694402774,3.3353353
90,493.86458330000005,2.8320113719999997,3.250544
91,493.9375,3.021958263,3.5525472
92,494.0104167,3.3751268199999997,3.8064556
93,494.08333330000005,3.711529314,4.1993804
94,494.15625,3.9159447810000003,4.427287
95,494.2291667,3.887875604,4.4784603
96,494.30208330000005,3.5782127729999997,4.1898956
97,494.375,2.966322685,3.699502
98,494.4479167,2.1931087929999995,2.5421422
99,494.52083330000005,1.611610285,1.889413
100,494.59375,1.398214455,1.6055114
101,494.6666667,1.302811798,1.3592476
102,494.73958330000005,1.162406558,1.150878
103,494.8125,0.97440885,0.8351175
104,494.8854167,0.795451571,0.718301
105,494.95833330000005,0.71317327,0.64293873
106,495.03125,0.6805461140000001,0.58447075
107,495.1041667,0.644183454,0.5270849
108,495.17708330000005,0.600701148,0.49760026
109,495.25,0.5691823579999999,0.47055367
