,Time (d),PO4_meas_PCA (gPm3),PO4_pred_PCA (gP/m3)
0,487.2291667,0.025526608,0.5701517
1,487.25,0.026087857999999995,0.5731269
2,487.27083330000005,0.026754134,0.5756027
3,487.2916667,0.027532745,0.5777068
4,487.3125,0.028425081,0.5797509
5,487.33333330000005,0.029434814,0.58223164
6,487.3541667,0.030546183,0.58720493
7,487.375,0.031743597,0.59714735
8,487.39583330000005,0.03302118,0.61392677
9,487.4166667,0.03436753,0.6375524
10,487.4375,0.035765385,0.662646
11,487.45833330000005,0.037205302,0.68314075
12,487.4791667,0.038700892,0.6956357
13,487.5,0.040290973,0.69925416
14,487.52083330000005,0.04205498,0.6967988
15,487.5416667,0.044150604,0.6920544
16,487.5625,0.046864328,0.6873138
17,487.58333330000005,0.050638502,0.6834841
18,487.6041667,0.056043412,0.68111163
19,487.625,0.063690753,0.6807503
20,487.64583330000005,0.07411869900000001,0.6827369
21,487.6666667,0.08767372699999998,0.68729883
22,487.6875,0.104424171,0.6951353
23,487.70833330000005,0.124195134,0.7070785
24,487.7291667,0.146646497,0.7242038
25,487.75,0.171413388,0.7473088
26,487.77083330000005,0.19821588,0.7750092
27,487.7916667,0.22673814499999997,0.804831
28,487.8125,0.256548639,0.83469933
29,487.83333330000005,0.287029358,0.8635759
30,487.8541667,0.31735102800000003,0.8925676
31,487.875,0.347053315,0.9228902
32,487.89583330000005,0.376124261,0.95240974
33,487.9166667,0.404300872,0.9779488
34,487.9375,0.430968697,1.0000522
35,487.95833330000005,0.455650196,1.0206769
36,487.9791667,0.478150761,1.0402795
37,488.0,0.49854653,1.0581746
38,488.02083330000005,0.517082087,1.0739388
39,488.0416667,0.534111559,1.0875924
40,488.0625,0.550067199,1.0989656
41,488.08333330000005,0.565436608,1.107954
42,488.1041667,0.580779229,1.1146882
43,488.125,0.596586004,1.1198512
44,488.14583330000005,0.613189316,1.125853
45,488.1666667,0.630852881,1.1344752
46,488.1875,0.649756123,1.1455485
47,488.20833330000005,0.669927304,1.1581957
48,488.2291667,0.691245094,1.171718
49,488.25,0.713511942,1.185759
50,488.27083330000005,0.736545736,1.2001454
51,488.2916667,0.7602579989999999,1.2148124
