,Time (d),Biogas_meas_PCA (m3/d),Biogas_pred_PCA (m3/d)
0,487.25,37.911277596,38.185394
1,487.28125,37.88736466,38.109066
2,487.3125,37.922355144,38.080975
3,487.34375,37.997534087000005,38.116405
4,487.375,38.060613131,38.247566
5,487.40625,38.177917329,38.45871
6,487.4375,38.315271122000006,38.71828
7,487.46875,38.414015513,38.926483
8,487.5,38.529778166999996,39.038715
9,487.53125,38.61925862,39.13323
10,487.5625,38.670491894,39.206978
11,487.59375,38.72555324,39.25502
12,487.625,38.804320137000005,39.306507
13,487.65625,38.928939871,39.37591
14,487.6875,39.081303329,39.4809
15,487.71875,39.22619546,39.621433
16,487.75,39.381059801999996,39.78663
17,487.78125,39.6408876,39.986088
18,487.8125,40.043684346,40.25349
19,487.84375,40.483248402,40.608353
20,487.875,40.820578808,40.98937
21,487.90625,41.258213404,41.290688
22,487.9375,41.78619116,41.660206
23,487.96875,42.202157128,42.10185
24,488.0,42.489764493,42.452374
25,488.03125,42.719272314,42.69191
26,488.0625,42.97888576,42.875046
27,488.09375,43.352731146,43.07593
28,488.125,43.83824916,43.37129
29,488.15625,44.214342781000006,43.770844
30,488.1875,44.455227108,44.085052
31,488.21875,44.654045403000005,44.28225
32,488.25,44.838633587,44.442448
33,488.28125,45.015079505,44.59104
34,488.3125,45.198908087,44.73591
35,488.34375,45.42974634300001,44.901596
36,488.375,45.768447336,45.151352
37,488.40625,46.24517536,45.551792
38,488.4375,46.68406550499999,46.091187
39,488.46875,46.932185766999986,46.564312
40,488.5,47.038661108,46.820408
41,488.53125,47.163928038,46.919598
42,488.5625,47.346642683,47.028385
43,488.59375,47.50035591100001,47.190994
44,488.625,47.54781711,47.325768
45,488.65625,47.506026166999995,47.35622
46,488.6875,47.420353823999996,47.29795
47,488.71875,47.370592219,47.199345
48,488.75,47.444303255,47.14741
49,488.78125,47.638910792,47.230804
50,488.8125,48.00707313,47.433792
51,488.84375,48.335145804,47.805885
52,488.875,48.364115403999996,48.13905
53,488.90625,48.457590835,48.16474
54,488.9375,48.444329038000014,48.248116
55,488.96875,48.224220442,48.214714
56,489.0,48.012753159,47.961304
57,489.03125,47.98468058,47.707565
58,489.0625,47.929242588,47.634842
59,489.09375,47.73101796300001,47.535904
60,489.125,47.499364653,47.294468
61,489.15625,47.327526412,47.020725
62,489.1875,47.111457602,46.808838
63,489.21875,46.805778853,46.554386
64,489.25,46.468841952000005,46.21243
65,489.28125,46.134998257,45.84295
66,489.3125,45.920074308000004,45.481365
67,489.34375,45.740040291999996,45.252327
68,489.375,45.500397863,45.099186
69,489.40625,45.581483815,44.93601
70,489.4375,45.63329171,45.096863
71,489.46875,45.43397953299999,45.19645
72,489.5,45.171348215,45.014652
73,489.53125,44.88647286000001,44.751865
74,489.5625,44.63024553899999,44.460186
75,489.59375,44.402327969,44.193394
76,489.625,44.152719749,43.95425
77,489.65625,43.883115751999995,43.69724
78,489.6875,43.60417807899999,43.425617
79,489.71875,43.293623681999996,43.15589
80,489.75,42.981938796,42.87882
81,489.78125,42.898871475,42.62154
82,489.8125,42.898250475,42.570465
83,489.84375,42.767005151999996,42.587906
84,489.875,42.514245046,42.484646
