,Time (d),PO4_meas_GA (gP/m3),PO4_pred_GA (gP/m3)
133,490.0,0.40183238400000004,0.30371952
134,490.02083330000005,0.406686009,0.3150869
135,490.0416667,0.412608343,0.3253908
136,490.0625,0.4198059840000001,0.3332924
137,490.08333330000005,0.428434092,0.33927655
138,490.1041667,0.438586317,0.34677503
139,490.125,0.4502996,0.35720715
140,490.14583330000005,0.4635345860000001,0.37056533
141,490.1666667,0.478151881,0.386223
142,490.1875,0.49391879899999996,0.40740043
143,490.20833330000005,0.510587339,0.43053702
144,490.2291667,0.52796019,0.4539543
145,490.25,0.545936049,0.47703746
146,490.27083330000005,0.564531196,0.49853224
147,490.2916667,0.58383255,0.51821494
148,490.3125,0.603994376,0.5351312
149,490.33333330000005,0.6251143720000001,0.5492878
150,490.3541667,0.647170959,0.56125224
151,490.375,0.6701061079999999,0.56964016
152,490.39583330000005,0.6938641870000001,0.5945266
153,490.4166667,0.718181918,0.62439847
154,490.4375,0.7424876320000001,0.6573792
155,490.45833330000005,0.7661870950000002,0.69262445
156,490.4791667,0.78875144,0.7276622
157,490.5,0.8097594909999999,0.76087224
158,490.52083330000005,0.8287938770000001,0.79071075
159,490.5416667,0.8454285579999999,0.8164851
160,490.5625,0.8592739719999999,0.83863604
161,490.58333330000005,0.870110235,0.8572057
162,490.6041667,0.8779113340000001,0.8704327
163,490.625,0.882770486,0.87790024
164,490.64583330000005,0.884930124,0.88365674
165,490.6666667,0.8848036870000001,0.888455
166,490.6875,0.8828858829999999,0.89169604
167,490.70833330000005,0.879684475,0.8935618
168,490.7291667,0.8756876090000001,0.89614254
169,490.75,0.8713196329999999,0.9006212
170,490.77083330000005,0.866910263,0.90471864
171,490.7916667,0.8627105099999999,0.9063562
172,490.8125,0.8589439620000001,0.903122
173,490.83333330000005,0.8558642390000001,0.89474875
174,490.8541667,0.853728071,0.88888985
175,490.875,0.852654258,0.8906399
176,490.89583330000005,0.852611963,0.89802325
177,490.9166667,0.8534589880000001,0.9082115
178,490.9375,0.854965505,0.9187726
179,490.95833330000005,0.856853938,0.92802477
180,490.9791667,0.8588632209999998,0.93529063
181,491.0,0.8608240599999999,0.94069713
182,491.02083330000005,0.862716273,0.94548416
183,491.0416667,0.864659265,0.9504848
184,491.0625,0.866881975,0.9549592
185,491.08333330000005,0.86968169,0.9584251
186,491.1041667,0.873331643,0.9617587
187,491.125,0.8780987899999999,0.96479934
188,491.14583330000005,0.8841313209999999,0.9690896
189,491.1666667,0.891528373,0.9760599
190,491.1875,0.9003171529999998,0.9855581
191,491.20833330000005,0.910502951,0.996743
192,491.2291667,0.9221145700000001,1.0078733
193,491.25,0.935141208,1.0181527
194,491.27083330000005,0.949464449,1.0294414
195,491.2916667,0.964920752,1.0431613
196,491.3125,0.981422025,1.0589775
197,491.33333330000005,0.99896063,1.0762668
198,491.3541667,1.017711061,1.0932504
199,491.375,1.037870448,1.1091834
200,491.39583330000005,1.059555086,1.1257654
201,491.4166667,1.082790617,1.1471641
202,491.4375,1.107464412,1.171573
203,491.45833330000005,1.133393914,1.198436
204,491.4791667,1.160339873,1.2293227
205,491.5,1.187992327,1.2613091
206,491.52083330000005,1.215974795,1.2933427
207,491.5416667,1.243797471,1.3248718
208,491.5625,1.27087449,1.3554878
209,491.58333330000005,1.296621353,1.3845955
210,491.6041667,1.320532727,1.4109163
211,491.625,1.342094104,1.4337742
212,491.64583330000005,1.3608059,1.4548732
213,491.6666667,1.376554159,1.4750633
214,491.6875,1.389530856,1.4909859
215,491.70833330000005,1.399915342,1.5004863
216,491.7291667,1.407848449,1.5073441
217,491.75,1.4136551080000002,1.5148795
218,491.77083330000005,1.417790118,1.5212408
219,491.7916667,1.420678766,1.5249736
220,491.8125,1.422703494,1.5278549
221,491.83333330000005,1.42420757,1.5311059
222,491.8541667,1.425455764,1.5345192
223,491.875,1.426612339,1.5379933
224,491.89583330000005,1.42773196,1.5415946
225,491.9166667,1.428756011,1.545233
226,491.9375,1.429534528,1.549964
227,491.95833330000005,1.429889172,1.5560987
228,491.9791667,1.429672346,1.5609444
229,492.0,1.4288030669999998,1.5625032
230,492.02083330000005,1.427307252,1.5606213
231,492.0416667,1.4253567530000002,1.5558807
232,492.0625,1.423302336,1.5499046
233,492.08333330000005,1.421631383,1.5441724
234,492.1041667,1.4208837559999998,1.5405555
235,492.125,1.421514994,1.5398016
236,492.14583330000005,1.423849304,1.5393907
237,492.1666667,1.4280574540000002,1.5378466
238,492.1875,1.434102987,1.5377723
239,492.20833330000005,1.44184435,1.5407858
240,492.2291667,1.4512299119999998,1.5446261
241,492.25,1.462310806,1.5478597
242,492.27083330000005,1.475175466,1.5519949
243,492.2916667,1.489915548,1.5581963
244,492.3125,1.5067223669999996,1.5659287
245,492.33333330000005,1.525804929,1.5750682
246,492.3541667,1.5472974220000002,1.5860816
247,492.375,1.57131857,1.5997778
248,492.39583330000005,1.598048963,1.6161774
249,492.4166667,1.627296712,1.6363024
250,492.4375,1.6583372649999997,1.6640589
251,492.45833330000005,1.690448217,1.6990787
252,492.4791667,1.723156369,1.7353133
253,492.5,1.755814011,1.7688648
254,492.52083330000005,1.787382593,1.7993993
255,492.5416667,1.816490158,1.8269079
256,492.5625,1.841664169,1.8514867
257,492.58333330000005,1.861599797,1.8726084
258,492.6041667,1.8754593020000003,1.8895059
259,492.625,1.882851276,1.9013003
260,492.64583330000005,1.883693266,1.9065589
261,492.6666667,1.8781877,1.9046977
262,492.6875,1.8668245200000002,1.8966392
263,492.70833330000005,1.850366485,1.8833417
264,492.7291667,1.829740181,1.8649656
265,492.75,1.80583551,1.841852
266,492.77083330000005,1.779342043,1.8113576
267,492.7916667,1.751295805,1.7733893
268,492.8125,1.723131107,1.7363775
269,492.83333330000005,1.695749299,1.7048541
270,492.8541667,1.669202467,1.6751684
271,492.875,1.642893749,1.6450704
272,492.89583330000005,1.615421913,1.6164194
273,492.9166667,1.5845271080000003,1.5878439
