,Time (d),NH4_meas_AutoML (gN/m3),NH4_pred_AutoML (gN/m3)
235,492.125,12897.51194,13094.107
236,492.14583330000005,12910.1491,13108.569
237,492.1666667,12922.3695,13124.031
238,492.1875,12934.22742,13139.415
239,492.20833330000005,12946.23346,13154.598
240,492.2291667,12958.70343,13169.574
241,492.25,12969.91959,13184.423
242,492.27083330000005,12984.10587,13197.879
243,492.2916667,12994.87812,13213.107
244,492.3125,13008.20953,13225.241
245,492.33333330000005,13019.34253,13238.383
246,492.3541667,13032.97547,13246.348
247,492.375,13045.29493,13251.076
248,492.39583330000005,13058.12126,13253.385
249,492.4166667,13071.22906,13258.237
250,492.4375,13083.33221,13267.507
251,492.45833330000005,13096.64915,13280.211
252,492.4791667,13109.42005,13294.958
253,492.5,13122.76607,13308.307
254,492.52083330000005,13136.1013,13321.362
255,492.5416667,13150.48351,13334.454
256,492.5625,13165.34122,13348.706
257,492.58333330000005,13179.493,13363.589
258,492.6041667,13193.42719,13377.984
259,492.625,13207.41639,13392.118
260,492.64583330000005,13220.74082,13406.083
261,492.6666667,13236.69584,13419.309
262,492.6875,13251.30871,13434.143
263,492.70833330000005,13265.37058,13447.303
264,492.7291667,13280.87783,13458.418
265,492.75,13294.98234,13468.673
266,492.77083330000005,13310.6638,13477.592
267,492.7916667,13327.04193,13488.948
268,492.8125,13344.09921,13502.318
269,492.83333330000005,13359.9753,13517.068
270,492.8541667,13376.86965,13531.095
271,492.875,13393.68062,13546.004
272,492.89583330000005,13410.30554,13560.859
273,492.9166667,13428.755330000002,13575.373
274,492.9375,13445.42088,13591.324
275,492.95833330000005,13465.04151,13606.2705
276,492.9791667,13483.38838,13623.997
277,493.0,13501.66557,13641.026
278,493.02083330000005,13522.37117,13658.088
279,493.0416667,13541.25916,13677.037
280,493.0625,13558.67314,13694.444
281,493.08333330000005,13578.323019999998,13710.575
282,493.1041667,13597.8379,13728.492
283,493.125,13617.20979,13746.394
284,493.14583330000005,13636.4947,13764.275
285,493.1666667,13655.68295,13782.245
286,493.1875,13674.72241,13800.335
287,493.20833330000005,13694.908919999998,13818.508
288,493.2291667,13712.76226,13837.649
289,493.25,13730.37398,13854.8
290,493.27083330000005,13747.99732,13871.583
291,493.2916667,13765.27288,13888.194
292,493.3125,13781.90881,13904.053
293,493.33333330000005,13798.91776,13918.343
294,493.3541667,13815.066380000002,13928.31
295,493.375,13831.215369999998,13931.068
296,493.39583330000005,13847.05746,13932.59
297,493.4166667,13863.16867,13937.116
298,493.4375,13879.84734,13946.622
299,493.45833330000005,13897.567030000002,13960.911
300,493.4791667,13915.01719,13977.999
301,493.5,13933.40519,13994.888
302,493.52083330000005,13954.30601,14012.013
303,493.5416667,13975.06088,14030.926
304,493.5625,13998.37592,14049.998
305,493.58333330000005,14021.40073,14071.849
306,493.6041667,14044.59789,14093.954
307,493.625,14068.57219,14116.494
308,493.64583330000005,14094.92154,14139.669
309,493.6666667,14124.73844,14164.675
310,493.6875,14153.616730000002,14192.125
311,493.70833330000005,14184.01425,14217.88
312,493.7291667,14216.84067,14242.73
313,493.75,14251.36638,14266.908
