,Time (d),Biogas_meas_GA (m3/d),Biogas_pred_GA (m3/d)
73,488.75,14531.28085,14575.703
74,488.77083330000005,14512.61653,14555.071
75,488.7916667,14494.37816,14537.137
76,488.8125,14476.66117,14521.778
77,488.83333330000005,14459.745,14508.359
78,488.8541667,14442.6374,14495.478
79,488.875,14426.04034,14481.066
80,488.89583330000005,14409.73325,14466.667
81,488.9166667,14394.37877,14453.323
82,488.9375,14378.99101,14441.296
83,488.95833330000005,14363.89466,14428.864
84,488.9791667,14349.27614,14416.234
85,489.0,14335.43452,14403.897
86,489.02083330000005,14321.15464,14392.877
87,489.0416667,14308.54567,14382.64
88,489.0625,14295.14513,14374.553
89,489.08333330000005,14282.16412,14365.745
90,489.1041667,14269.1403,14357.045
91,489.125,14256.52654,14348.052
92,489.14583330000005,14243.93061,14339.434
93,489.1666667,14231.17903,14331.049
94,489.1875,14218.618019999998,14322.43
95,489.20833330000005,14205.95088,14313.509
96,489.2291667,14193.05054,14303.993
97,489.25,14180.04822,14293.893
98,489.27083330000005,14166.84534,14283.544
99,489.2916667,14153.328480000002,14273.007
100,489.3125,14139.94296,14261.79
101,489.33333330000005,14125.98784,14249.424
102,489.3541667,14111.78703,14231.22
103,489.375,14097.26552,14204.229
104,489.39583330000005,14083.07173,14173.574
105,489.4166667,14068.47003,14146.623
106,489.4375,14054.04925,14125.075
107,489.45833330000005,14039.5244,14108.689
108,489.4791667,14024.91102,14094.859
109,489.5,14010.28768,14081.573
110,489.52083330000005,13995.599069999998,14068.014
111,489.5416667,13980.83631,14054.119
112,489.5625,13966.03862,14040.241
113,489.58333330000005,13951.21957,14026.666
114,489.6041667,13936.28911,14013.496
115,489.625,13921.31353,14000.762
116,489.64583330000005,13906.296230000002,13988.311
117,489.6666667,13891.22036,13975.694
118,489.6875,13876.03676,13962.06
119,489.70833330000005,13860.92695,13946.571
120,489.7291667,13845.648480000002,13928.13
121,489.75,13830.43423,13905.532
122,489.77083330000005,13815.500569999998,13881.809
123,489.7916667,13800.6903,13861.236
124,489.8125,13785.89549,13844.901
125,489.83333330000005,13771.07879,13831.99
126,489.8541667,13756.20797,13820.042
127,489.875,13741.31238,13806.632
128,489.89583330000005,13726.42623,13791.496
129,489.9166667,13711.65259,13775.598
130,489.9375,13696.92346,13760.069
131,489.95833330000005,13682.0395,13745.548
132,489.9791667,13667.07807,13731.793
133,490.0,13652.022619999998,13718.498
134,490.02083330000005,13636.84672,13705.509
135,490.0416667,13621.71748,13692.844
136,490.0625,13606.29081,13681.044
137,490.08333330000005,13590.90224,13670.338
138,490.1041667,13575.438069999998,13660.708
139,490.125,13559.7445,13651.396
