,Time (d),Biogas_meas_Pearson (m3/d),Biogas_pred_Pearson (m3/d)
143,493.20833330000005,13694.908919999998,13649.588
144,493.25,13730.37398,13688.85
145,493.2916667,13765.27288,13722.911
146,493.33333330000005,13798.91776,13754.933
147,493.375,13831.215369999998,13784.858
148,493.4166667,13863.16867,13812.308
149,493.45833330000005,13897.567030000002,13838.41
150,493.5,13933.40519,13866.823
151,493.5416667,13975.06088,13897.657
152,493.58333330000005,14021.40073,13936.596
153,493.625,14068.57219,13982.423
154,493.6666667,14124.73844,14030.159
155,493.70833330000005,14184.01425,14086.5625
156,493.75,14251.36638,14145.825
157,493.7916667,14328.13352,14211.954
158,493.83333330000005,14410.8329,14287.132
159,493.875,14508.237819999998,14368.498
160,493.9166667,14605.59733,14463.94
161,493.95833330000005,14718.34161,14559.998
162,494.0,14836.91225,14672.567
163,494.0416667,14959.38404,14792.406
164,494.08333330000005,15085.65594,14916.202
165,494.125,15216.27273,15043.112
166,494.1666667,15349.42927,15173.862
167,494.20833330000005,15485.3153,15305.659
168,494.25,15617.52995,15438.285
169,494.2916667,15744.387519999998,15565.524
170,494.33333330000005,15867.11541,15685.934
171,494.375,15981.671609999998,15800.506
172,494.4166667,16089.46091,15904.8
173,494.45833330000005,16189.815150000002,16000.658
174,494.5,16281.87366,16087.597
175,494.5416667,16362.5496,16168.324
176,494.58333330000005,16431.500330000006,16240.26
177,494.625,16487.523390000002,16304.63
178,494.6666667,16533.833740000002,16357.395
179,494.70833330000005,16569.328690000002,16399.615
180,494.75,16594.54569,16430.59
181,494.7916667,16610.68888,16451.49
182,494.83333330000005,16615.52774,16464.018
183,494.875,16613.74397,16464.943
184,494.9166667,16604.4091,16458.848
185,494.95833330000005,16581.8795,16446.22
186,495.0,16554.47534,16421.7
187,495.0416667,16521.68248,16391.766
188,495.08333330000005,16480.594869999994,16357.113
189,495.125,16432.01946,16315.211
190,495.1666667,16376.77371,16265.919
191,495.20833330000005,16315.245260000002,16209.8
192,495.25,16250.390219999997,16147.173
193,495.2916667,16180.331529999998,16081.585
194,495.33333330000005,16107.642160000001,16011.48
195,495.375,16030.316919999997,15939.757
196,495.4166667,15951.67965,15864.521
197,495.45833330000005,15872.173680000002,15788.777
198,495.5,15789.3017,15710.51
199,495.5416667,15708.12275,15629.217
200,495.58333330000005,15628.10695,15550.205
201,495.625,15547.02126,15472.705
202,495.6666667,15467.57294,15393.708
203,495.70833330000005,15389.53074,15316.363
204,495.75,15311.84581,15241.2
205,495.7916667,15236.14039,15166.566
206,495.83333330000005,15162.72843,15094.424
207,495.875,15091.1354,15024.004
208,495.9166667,15020.727019999998,14955.107
209,495.95833330000005,14953.32242,14887.11
210,496.0,14887.48929,14822.315
211,496.0416667,14823.66801,14759.519
212,496.08333330000005,14761.34511,14698.539
213,496.125,14699.87961,14639.008
214,496.1666667,14641.03801,14580.563
215,496.20833330000005,14582.52968,14524.97
216,496.25,14524.80379,14469.585
217,496.2916667,14467.60633,14414.915
218,496.33333330000005,14412.701,14360.996
219,496.375,14358.34487,14309.481
220,496.4166667,14306.1703,14258.51
221,496.45833330000005,14255.67272,14209.916
222,496.5,14206.6762,14162.724
223,496.5416667,14159.38792,14116.819
224,496.58333330000005,14114.072,14072.671
225,496.625,14070.37772,14030.42
226,496.6666667,14028.179430000002,13989.899
227,496.70833330000005,13986.98654,13950.859
228,496.75,13947.7665,13912.817
229,496.7916667,13909.8817,13876.752
230,496.83333330000005,13874.06011,13841.96
231,496.875,13839.5455,13809.097
232,496.9166667,13806.914169999998,13777.439
233,496.95833330000005,13776.1097,13747.56
234,497.0,13746.49501,13719.389
235,497.0416667,13718.510580000002,13692.369
236,497.08333330000005,13691.41236,13666.9
237,497.125,13665.13519,13642.299
238,497.1666667,13639.5005,13618.487
239,497.20833330000005,13614.153080000002,13595.281
240,497.25,13589.519519999998,13572.343
241,497.2916667,13564.87149,13550.006
242,497.33333330000005,13540.29875,13527.7
243,497.375,13516.135430000002,13505.414
244,497.4166667,13493.32311,13483.478
245,497.45833330000005,13471.89785,13462.658
246,497.5,13451.8956,13443.223
247,497.5416667,13433.64076,13425.103
248,497.58333330000005,13416.75273,13408.557
249,497.625,13401.3357,13393.355
250,497.6666667,13387.33581,13379.528
251,497.70833330000005,13375.6441,13367.024
252,497.75,13363.71907,13356.63
253,497.7916667,13353.79477,13346.125
254,497.83333330000005,13346.30025,13337.329
255,497.875,13339.07529,13330.739
256,497.9166667,13334.00094,13324.473
257,497.95833330000005,13329.87681,13320.08
258,498.0,13326.99751,13316.538
259,498.0416667,13324.27567,13314.058
260,498.08333330000005,13324.38024,13311.759
261,498.125,13323.45264,13311.986
262,498.1666667,13323.15634,13311.341
263,498.20833330000005,13322.64285,13311.265
264,498.25,13322.31451,13310.961
265,498.2916667,13321.7121,13310.748
266,498.33333330000005,13320.59832,13310.321
267,498.375,13319.61318,13309.338
268,498.4166667,13318.84977,13308.212
269,498.45833330000005,13318.76264,13307.227
270,498.5,13319.3948,13306.912
271,498.5416667,13320.93091,13307.229
272,498.58333330000005,13322.62548,13308.442
273,498.625,13325.00441,13309.936
274,498.6666667,13328.50973,13312.056
275,498.70833330000005,13333.44424,13315.255
276,498.75,13338.29484,13319.829
277,498.7916667,13344.66125,13324.285
278,498.83333330000005,13352.12034,13330.107
279,498.875,13360.26863,13336.82
280,498.9166667,13370.80373,13344.195
281,498.95833330000005,13380.88772,13353.734
282,499.0,13392.38985,13362.977
283,499.0416667,13404.28521,13373.525
284,499.08333330000005,13419.15485,13384.389
285,499.125,13431.57034,13398.0
286,499.1666667,13444.94926,13409.47
287,499.20833330000005,13458.33221,13421.698
288,499.25,13470.66005,13433.904
289,499.2916667,13482.44738,13445.104
290,499.33333330000005,13494.16104,13455.753
291,499.375,13505.5471,13466.216
292,499.4166667,13517.18614,13476.204
293,499.45833330000005,13528.902080000002,13486.377
294,499.5,13540.88712,13496.579
295,499.5416667,13552.73729,13507.033
296,499.58333330000005,13565.25071,13517.525
297,499.625,13577.75539,13528.776
298,499.6666667,13590.88949,13540.186
299,499.70833330000005,13604.31129,13552.331
300,499.75,13617.48519,13564.795
301,499.7916667,13631.37417,13576.997
302,499.83333330000005,13645.52131,13589.743
303,499.875,13660.00553,13602.665
304,499.9166667,13676.64885,13615.808
305,499.95833330000005,13691.64827,13630.926
306,500.0,13708.18834,13644.625
307,500.0416667,13724.3424,13659.838
308,500.08333330000005,13740.21123,13674.828
309,500.125,13756.69078,13689.657
310,500.1666667,13772.73124,13705.051
311,500.20833330000005,13787.25441,13719.938
312,500.25,13800.31799,13733.266
313,500.2916667,13812.51712,13745.09
314,500.33333330000005,13823.61889,13756.006
315,500.375,13834.012880000002,13765.85
316,500.4166667,13844.59709,13775.034
317,500.45833330000005,13854.47775,13784.374
318,500.5,13864.20408,13793.052
319,500.5416667,13873.77093,13801.609
320,500.58333330000005,13883.45812,13810.079
321,500.625,13894.24787,13818.802
322,500.6666667,13904.78115,13828.681
323,500.70833330000005,13915.03796,13838.432
324,500.75,13926.55662,13848.0205
325,500.7916667,13939.17363,13858.849
326,500.83333330000005,13952.45676,13870.719
327,500.875,13967.10646,13883.184
328,500.9166667,13981.69161,13896.913
329,500.95833330000005,13997.21468,13910.562
330,501.0,14013.9971,13925.257
331,501.0416667,14031.41084,13941.286
332,501.08333330000005,14048.9278,13957.965
333,501.125,14065.19447,13974.688
334,501.1666667,14081.77229,13990.16
335,501.20833330000005,14097.28833,14005.743
336,501.25,14111.47064,14020.14
337,501.2916667,14124.48194,14033.111
338,501.33333330000005,14137.33985,14044.922
339,501.375,14149.57711,14056.651
340,501.4166667,14160.91009,14067.69
341,501.45833330000005,14171.91587,14077.83
342,501.5,14183.02487,14087.575
343,501.5416667,14194.4709,14097.475
344,501.58333330000005,14206.63146,14107.894
345,501.625,14218.7963,14119.226
346,501.6666667,14230.40486,14130.717
347,501.70833330000005,14242.08704,14141.763
348,501.75,14253.88463,14153.029
349,501.7916667,14266.51048,14164.437
350,501.83333330000005,14279.27199,14176.728
351,501.875,14291.92195,14188.902
352,501.9166667,14304.64036,14200.829
353,501.95833330000005,14317.55302,14212.696
