,Time (d),NH4_meas_Pearson (gN/m3),NH4_pred_Pearson (gN/m3)
0,487.25,0.682954153,0.6555886
1,487.2916667,0.662235437,0.63973844
2,487.33333330000005,0.637697683,0.6209554
3,487.375,0.611490514,0.6002548
4,487.4166667,0.585766892,0.5779964
5,487.45833330000005,0.5627519529999999,0.5576998
6,487.5,0.544314772,0.5385304
7,487.5416667,0.532883772,0.52368516
8,487.58333330000005,0.531022374,0.51335603
9,487.625,0.539581552,0.51099706
10,487.6666667,0.556232961,0.5178485
11,487.70833330000005,0.576252881,0.53240305
12,487.75,0.595408856,0.5495154
13,487.7916667,0.612039413,0.5666633
14,487.83333330000005,0.625844898,0.5852947
15,487.875,0.636669721,0.60296017
16,487.9166667,0.646495191,0.6161727
17,487.95833330000005,0.658989878,0.6327644
18,488.0,0.676458173,0.6492249
19,488.0416667,0.7008135670000001,0.66713244
20,488.08333330000005,0.733407171,0.6906026
21,488.125,0.7705588659999999,0.7237469
22,488.1666667,0.803647378,0.76327187
23,488.20833330000005,0.82920046,0.7955405
24,488.25,0.8505725149999999,0.8202202
25,488.2916667,0.8673606959999999,0.84105784
26,488.33333330000005,0.8733581309999999,0.85801476
27,488.375,0.864004632,0.8668612
28,488.4166667,0.8400125519999999,0.86588216
29,488.45833330000005,0.8083146370000001,0.8548718
30,488.5,0.78263613,0.83279717
31,488.5416667,0.7789183500000001,0.8126773
32,488.58333330000005,0.8041219540000001,0.8131858
33,488.625,0.849506975,0.8389899
34,488.6666667,0.9024473099999999,0.8797557
35,488.70833330000005,0.95421235,0.92529047
36,488.75,0.99463871,0.9702441
37,488.7916667,1.012354701,1.0089266
38,488.83333330000005,1.005297322,1.0317961
39,488.875,0.9913024029999999,1.035166
40,488.9166667,1.000294114,1.0250869
41,488.95833330000005,1.045155908,1.0368838
42,489.0,1.1055329850000002,1.0741628
43,489.0416667,1.155905155,1.1254947
44,489.08333330000005,1.17221431,1.1719273
45,489.125,1.150828122,1.1840689
46,489.1666667,1.106722723,1.1615682
47,489.20833330000005,1.04656029,1.1200138
48,489.25,0.9719571940000001,1.0618088
49,489.2916667,0.889148565,0.99026436
50,489.33333330000005,0.803352053,0.91305
51,489.375,0.72121574,0.8363101
52,489.4166667,0.647992548,0.7625374
53,489.45833330000005,0.590489501,0.70364577
54,489.5,0.552983277,0.65250236
55,489.5416667,0.53923874,0.61700153
56,489.58333330000005,0.544480554,0.6014861
57,489.625,0.558050309,0.60283935
58,489.6666667,0.571112666,0.61053526
59,489.70833330000005,0.579434895,0.61719614
60,489.75,0.581347505,0.6190879
61,489.7916667,0.5765229270000001,0.6157808
62,489.83333330000005,0.565791531,0.6117893
63,489.875,0.552999121,0.60078406
64,489.9166667,0.5439133110000001,0.58531934
65,489.95833330000005,0.54005109,0.5735341
66,490.0,0.538422744,0.5650192
67,490.0416667,0.53665474,0.55647916
68,490.08333330000005,0.533799185,0.54896384
69,490.125,0.529172051,0.54257727
70,490.1666667,0.522987722,0.5340408
71,490.20833330000005,0.51645068,0.52362746
72,490.25,0.510446456,0.5124745
73,490.2916667,0.505049899,0.5025313
74,490.33333330000005,0.499911634,0.49557406
