,Time (d),Biogas_meas_Pearson_NPC (m3/d),Biogas_pred_Pearson_NPC (m3/d)
152,492.0,12829.40235,14404.959
153,492.03125,12846.9131,14406.977
154,492.0625,12862.4025,14411.995
155,492.09375,12880.64775,14418.224
156,492.125,12897.51194,14423.436
157,492.15625,12916.18497,14427.321
158,492.1875,12934.22742,14433.403
159,492.21875,12952.37107,14440.012
160,492.25,12969.91959,14446.354
161,492.28125,12989.53056,14454.522
162,492.3125,13008.20953,14462.709
163,492.34375,13025.59113,14467.973
164,492.375,13045.29493,14463.041
165,492.40625,13064.5862,14446.639
166,492.4375,13083.33221,14435.849
167,492.46875,13103.25973,14433.227
168,492.5,13122.76607,14435.865
169,492.53125,13143.04423,14441.789
170,492.5625,13165.34122,14448.695
171,492.59375,13187.35026,14454.3955
172,492.625,13207.41639,14458.015
173,492.65625,13229.77137,14460.509
174,492.6875,13251.30871,14463.44
175,492.71875,13273.39737,14464.014
176,492.75,13294.98234,14460.3125
177,492.78125,13319.40914,14456.649
178,492.8125,13344.09921,14462.502
179,492.84375,13367.96845,14469.892
180,492.875,13393.68062,14475.814
181,492.90625,13419.17283,14483.802
182,492.9375,13445.42088,14491.734
183,492.96875,13473.61831,14504.367
184,493.0,13501.66557,14523.566
185,493.03125,13531.94741,14547.092
186,493.0625,13558.67314,14573.587
187,493.09375,13588.19069,14604.412
188,493.125,13617.20979,14638.89
189,493.15625,13646.17769,14676.944
190,493.1875,13674.72241,14722.516
191,493.21875,13703.99305,14777.324
192,493.25,13730.37398,14836.619
193,493.28125,13756.70014,14894.962
194,493.3125,13781.90881,14951.42
195,493.34375,13807.0421,15004.135
196,493.375,13831.215369999998,15004.553
197,493.40625,13854.85729,14947.472
198,493.4375,13879.84734,14911.405
199,493.46875,13906.41054,14937.642
200,493.5,13933.40519,14984.676
201,493.53125,13963.32734,15022.007
202,493.5625,13998.37592,15068.55
203,493.59375,14033.33549,15128.607
204,493.625,14068.57219,15196.67
205,493.65625,14109.22976,15268.692
206,493.6875,14153.616730000002,15343.949
207,493.71875,14202.08096,15417.094
208,493.75,14251.36638,15441.832
209,493.78125,14307.69295,15424.515
210,493.8125,14369.06744,15423.152
211,493.84375,14436.89249,15454.896
212,493.875,14508.237819999998,15499.136
213,493.90625,14579.75912,15546.041
214,493.9375,14660.69319,15597.053
215,493.96875,14745.29225,15658.604
216,494.0,14836.91225,15751.122
217,494.03125,14928.618869999998,15881.076
218,494.0625,15021.78066,16027.735
219,494.09375,15119.813869999998,16162.985
220,494.125,15216.27273,16299.364
221,494.15625,15319.75161,16439.0
222,494.1875,15419.58544,16569.44
223,494.21875,15520.04591,16689.023
224,494.25,15617.52995,16800.508
225,494.28125,15713.55956,16900.33
226,494.3125,15806.09722,16983.316
227,494.34375,15896.36454,17008.787
228,494.375,15981.67161,16817.998
229,494.40625,16063.178199999998,16508.459
230,494.4375,16140.879009999999,16338.339
231,494.46875,16212.97117,16297.099
232,494.5,16281.873659999997,16338.445
233,494.53125,16343.00913,16386.484
234,494.5625,16397.27265,16408.32
235,494.59375,16445.89032,16451.572
236,494.625,16487.523390000002,16520.637
