,Time (d),COD_meas_PCA (gP/m3),COD_pred_PCA (gP/m3)
0,487.2291667,37.958247818000004,39.441494
1,487.25,37.911277596,39.38166
2,487.27083330000005,37.889701437,39.348602
3,487.2916667,37.891506705,39.336704
4,487.3125,37.922355144,39.34477
5,487.33333330000005,37.973317531999996,39.378727
6,487.3541667,38.018563285999996,39.435097
7,487.375,38.060613131,39.496105
8,487.39583330000005,38.13039895,39.568005
9,487.4166667,38.228022505,39.67927
10,487.4375,38.315271122000006,39.819782
11,487.45833330000005,38.381224021,39.943096
12,487.4791667,38.450552416,40.030235
13,487.5,38.529778166999996,40.098866
14,487.52083330000005,38.595517681,40.1609
15,487.5416667,38.638279944000004,40.2051
16,487.5625,38.670491894,40.228436
17,487.58333330000005,38.705293252,40.243362
18,487.6041667,38.748211172000005,40.261757
19,487.625,38.804320137000005,40.288727
20,487.64583330000005,38.882003939,40.328705
21,487.6666667,38.979106561,40.38904
22,487.6875,39.081303329,40.468582
23,487.70833330000005,39.179158069,40.555767
24,487.7291667,39.273212416999996,40.64415
25,487.75,39.381059801999996,40.735943
26,487.77083330000005,39.53736391,40.84586
27,487.7916667,39.760759165,41.002396
28,487.8125,40.043684346,41.21934
29,487.83333330000005,40.347112008,41.48805
30,487.8541667,40.60281407100001,41.774803
31,487.875,40.820578808,42.020252
32,487.89583330000005,41.090317454,42.230312
33,487.9166667,41.437651246,42.481464
34,487.9375,41.78619116,42.798183
35,487.95833330000005,42.080315799,43.11521
36,487.9791667,42.309116496,43.383457
37,488.0,42.489764493,43.59238
38,488.02083330000005,42.644279305,43.75704
39,488.0416667,42.79794487699999,43.897076
40,488.0625,42.97888576,44.034153
41,488.08333330000005,43.210663741,44.192524
42,488.1041667,43.510486952,44.393135
43,488.125,43.83824916,44.652252
44,488.14583330000005,44.109468771,44.937096
45,488.1666667,44.303823224000006,45.17387
46,488.1875,44.455227108,45.343655
47,488.20833330000005,44.5898179,45.475563
48,488.2291667,44.716790083,45.592117
49,488.25,44.838633587,45.70117
50,488.27083330000005,44.95661534,45.804996
51,488.2916667,45.074347909,45.90502
52,488.3125,45.198908087,46.005173
53,488.33333330000005,45.342934681,46.112644
54,488.3541667,45.528498466,46.239185
55,488.375,45.768447336,46.40571
56,488.39583330000005,46.07629796000001,46.630367
57,488.4166667,46.408753373,46.931805
58,488.4375,46.68406550499999,47.264023
59,488.45833330000005,46.871368931000006,47.54168
60,488.4791667,46.975582348,47.729748
61,488.5,47.038661108,47.830784
62,488.52083330000005,47.11453045100001,47.885254
63,488.5416667,47.220734513000004,47.945576
