,Time (d),NH4_meas_Pearson_NPC (gN/m3),NH4_pred_Pearson_NPC (gN/m3)
80,489.75,0.581347505,0.62868637
81,489.78125,0.578343696,0.630619
82,489.8125,0.571757676,0.6340167
83,489.84375,0.562548334,0.6371279
84,489.875,0.552999121,0.6392823
85,489.90625,0.545641272,0.6399931
86,489.9375,0.541476266,0.63948065
87,489.96875,0.539565857,0.6374475
88,490.0,0.538422744,0.6329838
89,490.03125,0.537168051,0.62614745
90,490.0625,0.535413525,0.61874676
91,490.09375,0.5328233520000001,0.6120513
92,490.125,0.529172051,0.6051357
93,490.15625,0.52461943,0.598025
94,490.1875,0.519687086,0.59063506
95,490.21875,0.514884906,0.58264774
96,490.25,0.510446456,0.57515347
97,490.28125,0.506358061,0.5692674
98,490.3125,0.502473736,0.5644949
99,490.34375,0.498623233,0.56023
100,490.375,0.49468213400000005,0.55415064
101,490.40625,0.49059757,0.5438317
102,490.4375,0.48652883900000005,0.5326587
103,490.46875,0.48278153999999995,0.52507675
104,490.5,0.479725234,0.5230024
105,490.53125,0.4778201,0.5238514
106,490.5625,0.477501555,0.5255722
107,490.59375,0.478942105,0.5275902
108,490.625,0.482043578,0.5322279
109,490.65625,0.486458992,0.53947955
110,490.6875,0.49170490200000017,0.54705644
111,490.71875,0.497353794,0.55618685
112,490.75,0.5030762320000001,0.56402797
113,490.78125,0.5087314820000001,0.5686732
114,490.8125,0.514317452,0.57723683
115,490.84375,0.519726942,0.5917347
116,490.875,0.524606178,0.6049478
117,490.90625,0.5288431929999999,0.6158216
118,490.9375,0.53273785,0.6262782
119,490.96875,0.5368028189999999,0.63517654
120,491.0,0.541420852,0.6416192
121,491.03125,0.546572417,0.64574856
122,491.0625,0.5520320470000001,0.6490687
123,491.09375,0.557543538,0.65286005
124,491.125,0.562887786,0.656122
125,491.15625,0.567866264,0.658088
126,491.1875,0.572344128,0.66013247
127,491.21875,0.576313948,0.66225016
128,491.25,0.579865895,0.6646236
129,491.28125,0.583030629,0.6671705
130,491.3125,0.585769529,0.668624
131,491.34375,0.588050089,0.6686793
132,491.375,0.589876417,0.66369045
133,491.40625,0.591236739,0.649247
134,491.4375,0.5920448979999999,0.6349983
135,491.46875,0.592193816,0.6292079
136,491.5,0.591745005,0.6312597
137,491.53125,0.591074411,0.6370643
138,491.5625,0.590846381,0.6436189
139,491.59375,0.591801881,0.6496863
140,491.625,0.594527678,0.6560698
141,491.65625,0.599228826,0.6631082
142,491.6875,0.605795894,0.67099637
143,491.71875,0.614055095,0.6810708
144,491.75,0.623495651,0.6885092
145,491.78125,0.633710526,0.6943977
146,491.8125,0.6443834420000001,0.70671964
147,491.84375,0.655294357,0.7207073
148,491.875,0.666620487,0.7343009
149,491.90625,0.6789598090000001,0.7481794
150,491.9375,0.6931978520000001,0.7605017
151,491.96875,0.710219066,0.771159
152,492.0,0.7308247659999999,0.7813023
153,492.03125,0.755125397,0.7895772
154,492.0625,0.781854969,0.79621243
155,492.09375,0.8086198979999999,0.80210024
156,492.125,0.8333430690000001,0.80698186
157,492.15625,0.8559019179999999,0.8115079
158,492.1875,0.8769473249999999,0.8163219
159,492.21875,0.8966318329999999,0.81927025
160,492.25,0.9143247,0.8220496
161,492.28125,0.928481049,0.8245611
162,492.3125,0.937728518,0.8256056
163,492.34375,0.941192652,0.825831
164,492.375,0.938791605,0.8234264
165,492.40625,0.930935178,0.8171215
166,492.4375,0.9189027279999998,0.81108123
167,492.46875,0.9050832959999999,0.8071158
168,492.5,0.892968049,0.80660665
169,492.53125,0.88769959,0.80805737
170,492.5625,0.8942139029999999,0.8103099
171,492.59375,0.9146523490000001,0.8139174
172,492.625,0.948323068,0.81954014
173,492.65625,0.9935091689999999,0.82822824
174,492.6875,1.047411381,0.87517005
175,492.71875,1.105466452,0.9230345
176,492.75,1.162537607,0.96655047
177,492.78125,1.21455593,1.0160452
178,492.8125,1.2567242159999998,1.0912879
179,492.84375,1.288185864,1.1675822
180,492.875,1.318313859,1.2512795
181,492.90625,1.365893671,1.3393887
182,492.9375,1.4495026309999999,1.4280515
183,492.96875,1.577190285,1.5517064
184,493.0,1.743610691,1.7049471
185,493.03125,1.9345136499999995,1.8749437
186,493.0625,2.136216735,2.073336
187,493.09375,2.338992349,2.2806153
188,493.125,2.533105241,2.4795349
189,493.15625,2.7065528729999997,2.6641786
190,493.1875,2.8445290780000003,2.8277686
191,493.21875,2.9325472310000005,2.9532554
192,493.25,2.962782147,3.0211952
193,493.28125,2.9383878819999993,3.024519
194,493.3125,2.8679216249999997,2.973351
195,493.34375,2.757266434,2.8957772
196,493.375,2.6090132589999997,2.8045938
197,493.40625,2.4334425359999994,2.6867225
198,493.4375,2.253040387,2.5312994
199,493.46875,2.0984730459999996,2.3731732
200,493.5,1.9982788940000002,2.2211778
201,493.53125,1.9704696719999997,2.116584
202,493.5625,2.0156753009999995,2.0838408
203,493.59375,2.111646364,2.1168003
204,493.625,2.225709286,2.1965714
205,493.65625,2.3363451549999996,2.2941718
206,493.6875,2.436874614,2.3946762
207,493.71875,2.5262749689999997,2.504622
208,493.75,2.603704824,2.6065524
209,493.78125,2.672513784,2.6998632
210,493.8125,2.736812349,2.7818267
211,493.84375,2.79543095,2.8648553
212,493.875,2.85091952,2.9381187
213,493.90625,2.919929843,3.0052595
214,493.9375,3.021958263,3.0804684
215,493.96875,3.160393504,3.1777604
216,494.0,3.3206534060000004,3.2992418
217,494.03125,3.4812229930000003,3.4269648
218,494.0625,3.626312915,3.544632
219,494.09375,3.750510365,3.6360195
220,494.125,3.850395361,3.7067478
221,494.15625,3.9159447810000003,3.749891
222,494.1875,3.936619942,3.7548504
223,494.21875,3.9083621420000005,3.7133653
224,494.25,3.82980703,3.6268497
225,494.28125,3.697892523,3.4962966
226,494.3125,3.5085281819999996,3.3237996
227,494.34375,3.261767791,3.124005
228,494.375,2.966322685,2.9111562
229,494.40625,2.6365492149999996,2.680142
230,494.4375,2.3007392659999994,2.3910809
231,494.46875,1.9907546739999995,2.0458038
232,494.5,1.737381761,1.7332653
233,494.53125,1.5616870309999997,1.4870561
234,494.5625,1.4560800130000002,1.3270506
235,494.59375,1.398214455,1.2372919
236,494.625,1.3598997330000002,1.1924142
237,494.65625,1.31878827,1.1592196
238,494.6875,1.267439416,1.1236733
239,494.71875,1.207156321,1.0849122
240,494.75,1.13849744,1.042439
241,494.78125,1.060196793,0.9992071
