,Time (d),COD_meas_GA (gCOD/m3),COD_pred_GA (gCOD/m3)
0,487.3125,37.922355144,38.459885
1,487.375,38.060613131,38.428955
2,487.4375,38.315271122000006,38.703117
3,487.5,38.529778166999996,39.07385
4,487.5625,38.670491894,39.36662
5,487.625,38.804320137000005,39.562416
6,487.6875,39.081303329,39.69759
7,487.75,39.381059801999996,39.94273
8,487.8125,40.043684346,40.257126
9,487.875,40.820578808,40.795574
10,487.9375,41.78619116,41.439674
11,488.0,42.489764493,42.238987
12,488.0625,42.97888576,42.808193
13,488.125,43.83824916,43.150482
14,488.1875,44.455227108,43.7777
15,488.25,44.838633587,44.182472
16,488.3125,45.198908087,44.403954
17,488.375,45.768447336,44.617466
18,488.4375,46.68406550499999,45.154476
19,488.5,47.038661108,46.031693
20,488.5625,47.346642683,46.466
21,488.625,47.54781711,46.808098
22,488.6875,47.420353823999996,46.991344
23,488.75,47.444303255,46.87995
24,488.8125,48.00707313,46.944717
25,488.875,48.364115403999996,47.456646
26,488.9375,48.444329038000014,47.795834
27,489.0,48.012753159,47.87121
28,489.0625,47.929242588,47.475494
29,489.125,47.499364653,47.343613
30,489.1875,47.111457602,46.877014
31,489.25,46.468841952000005,46.444153
32,489.3125,45.920074308000004,45.79741
33,489.375,45.500397863,45.23785
34,489.4375,45.63329171,45.019867
35,489.5,45.171348215,45.393963
36,489.5625,44.63024553899999,45.18346
37,489.625,44.152719749,44.870342
38,489.6875,43.60417807899999,44.530304
39,489.75,42.981938796,44.120277
40,489.8125,42.898250475,43.800037
41,489.875,42.514245046,43.86298
42,489.9375,42.047703352000006,43.59904
43,490.0,41.409351833,43.360867
44,490.0625,40.813034376,42.902218
45,490.125,40.44823561,42.43623
46,490.1875,39.988794576,42.081886
47,490.25,39.51041319,41.67841
48,490.3125,39.331857486,41.2599
49,490.375,39.5253987,41.11384
50,490.4375,39.823161284,41.61209
51,490.5,39.722100266999995,42.229847
52,490.5625,39.517568577,42.251347
53,490.625,39.467293946,42.19592
54,490.6875,39.537811479,42.19124
55,490.75,39.604202698,42.282333
56,490.8125,39.866067118000004,42.480152
57,490.875,40.392082681,42.79344
58,490.9375,40.50262270100001,43.253426
59,491.0,40.638273162,43.423298
60,491.0625,40.830763703,43.57681
61,491.125,41.139575522,43.647865
62,491.1875,41.43760903399999,43.843052
63,491.25,41.72537305200001,43.993195
64,491.3125,42.04740167200001,44.13179
65,491.375,42.42964511699999,44.310463
66,491.4375,43.15420924,44.799896
67,491.5,43.821255466999986,45.512928
68,491.5625,44.320389369,46.08344
69,491.625,44.82058562899999,46.553852
70,491.6875,45.311265036,47.03294
71,491.75,45.96673931,47.487064
72,491.8125,46.721016706,48.129177
73,491.875,47.445621946,48.73824
74,491.9375,48.010068798999995,49.348263
75,492.0,48.410755043,49.825115
76,492.0625,49.037845283,50.12921
77,492.125,49.524366054000005,50.62714
78,492.1875,49.97549371,50.97483
79,492.25,50.411682717000005,51.274258
80,492.3125,50.91969902,51.54296
81,492.375,51.56273755800001,51.8778
82,492.4375,52.456055426999995,52.38838
83,492.5,52.971578936000014,53.12741
84,492.5625,53.519912255,53.645805
85,492.625,53.881291309,54.21865
86,492.6875,54.16228915100001,54.569225
87,492.75,54.47803019799999,54.82764
88,492.8125,55.42163987799999,55.10474
89,492.875,56.060727907,55.961586
90,492.9375,56.501723036,56.540184
91,493.0,57.00620389899999,56.906185
92,493.0625,57.18948343699999,57.281113
93,493.125,57.05956032000001,57.30893
94,493.1875,56.931231415,57.005898
95,493.25,56.719118077,56.6792
96,493.3125,56.416636477,56.264854
97,493.375,56.591222176,55.78649
98,493.4375,56.483157585,55.797665
99,493.5,55.822767782,55.78501
100,493.5625,54.978824381,55.49227
101,493.625,54.384494444,55.09963
102,493.6875,53.97519708200001,54.846066
103,493.75,53.52832218899999,54.67054
104,493.8125,52.98502553000001,54.410034
105,493.875,52.956715364,54.148415
