,loss_Bidirectional LSTM,val_loss_Bidirectional LSTM
0,0.010564961470663548,0.019469337537884712
1,0.0022871827241033316,0.008810417726635933
2,0.001606577541679144,0.0072074574418365955
3,0.0010619779350236058,0.006326816976070404
4,0.0006433915696106851,0.0035748917143791914
5,0.00030997590511105955,0.001512471935711801
6,0.00017914744967129081,0.00100082962308079
7,0.000169824663316831,0.0008979299454949796
8,0.0001865076192189008,0.0009209680138155818
9,0.00020573860092554241,0.000915867043659091
10,0.00021318747894838452,0.000917120254598558
11,0.00021232603467069566,0.0009262707899324596
12,0.0002023708075284958,0.0009185157832689583
13,0.00018345654825679958,0.0008775100577622652
14,0.00016217815573327243,0.0008053628262132406
15,0.00014231581008061767,0.0007289827335625887
16,0.0001249076158273965,0.0006724022678099573
17,0.00010851454135263339,0.0006365765584632754
18,8.934624929679558e-05,0.0006147066014818847
19,6.742653931723908e-05,0.0007112972089089453
20,5.833252362208441e-05,0.0005126985488459468
21,8.203006291296333e-05,0.0004965419066138566
22,9.975097054848447e-05,0.000509437988512218
23,7.515411562053487e-05,0.000498599314596504
24,5.4828491556691006e-05,0.0004497168702073395
25,5.497473830473609e-05,0.000497568107675761
26,5.5440272262785584e-05,0.000556106970179826
27,5.375402179197408e-05,0.000560874817892909
28,5.3485386160900816e-05,0.0005214992561377585
29,5.478212915477343e-05,0.00044587714364752173
30,5.5861084547359496e-05,0.00039887524326331913
31,5.4762833315180615e-05,0.0004139001830480993
32,5.090750346425921e-05,0.0004608874151017517
33,4.812606130144559e-05,0.0004898979677818716
34,4.802855255547911e-05,0.00046232054592110217
35,4.9171067075803876e-05,0.00041850010165944695
36,4.9547048547538e-05,0.0003916278656106442
37,4.788424848811701e-05,0.00041275424882769585
38,4.5589313231175765e-05,0.0004381545586511493
39,4.43488679593429e-05,0.00044366205111145973
40,4.461253047338687e-05,0.0004297370323911309
41,4.433405410964042e-05,0.000411704444559291
42,4.381034887046553e-05,0.00041222875006496906
43,4.255224848748185e-05,0.0004148786247242242
44,4.178089875495061e-05,0.0004166045691817999
45,4.1422299545956776e-05,0.0004072528681717813
46,4.0961906051961705e-05,0.0004028606053907424
,loss_Bidirectional LSTM,val_loss_Bidirectional LSTM
0,0.015897905454039574,0.03657715395092964
1,0.006715315859764814,0.026462852954864502
2,0.005563236773014069,0.02128884755074978
3,0.00510490033775568,0.019702909514307976
4,0.004918124992400408,0.01906847581267357
5,0.004781550727784634,0.018664060160517693
6,0.004659570753574371,0.018361028283834457
7,0.004548696801066399,0.018124930560588837
8,0.004448407329618931,0.0179425161331892
9,0.004358331207185984,0.017807792872190475
10,0.004277837462723255,0.01771862991154194
11,0.004207569640129805,0.01768006756901741
12,0.00414746580645442,0.01770021952688694
13,0.004097593482583761,0.017765719443559647
14,0.004041676875203848,0.0178175438195467
15,0.003979567438364029,0.017861194908618927
16,0.003919422160834074,0.017913106828927994
17,0.0038677784614264965,0.017993588000535965
18,0.003824046812951565,0.018109964206814766
19,0.0037875035777688026,0.01826133206486702
20,0.0037582016084343195,0.018439706414937973
21,0.0037353963125497103,0.018636714667081833
