,loss_Bidirectional LSTM,val_loss_Bidirectional LSTM
0,0.008672037161886692,0.003863926511257887
1,0.0007164304261095822,0.00046886151540093124
2,0.0002010577154578641,0.0003490821400191635
3,0.0001366461074212566,0.000154391978867352
4,0.00020326871890574694,0.0004127698775846511
5,0.0002247679076390341,0.00018012909276876599
6,0.00022653699852526188,0.0003519374877214432
7,0.0003150837146677077,0.000240448527620174
8,0.0001468796981498599,0.00037140140193514526
9,0.00024794499040581286,0.000261192413745448
10,0.00015309850277844816,0.00035893722088076174
11,0.0002597683633212,0.00031905481591820717
12,0.0001568425795994699,0.00030195654835551977
13,0.00015035759133752435,0.00034700470860116184
