,loss_Bidirectional LSTM,val_loss_Bidirectional LSTM
0,0.023086080327630043,0.023763658478856087
1,0.0063329157419502735,0.01681753620505333
2,0.0035619542468339205,0.00839181151241064
3,0.0015343994600698352,0.0038374948780983686
4,0.000818451342638582,0.002154725370928645
5,0.0005167502094991505,0.0011111146304756403
6,0.00033444553264416754,0.0004393454873934388
7,0.00025194630143232644,0.00036070848000235856
8,0.0002117855183314532,0.0003907770151272416
9,0.00019111116125714034,0.00038587782182730734
10,0.00017413489695172757,0.00037428157520480454
11,0.00015925499610602856,0.00035888535785488784
12,0.00014488326269201934,0.0003185603709425777
13,0.0001308796345256269,0.0002603884495329112
14,0.0001175225042970851,0.00019565036927815527
15,0.00010488542466191575,0.0001377060398226604
16,9.116361616179347e-05,0.00011113354412373155
17,7.668748730793595e-05,0.0001102579990401864
18,6.560642214026302e-05,0.00012099396553821862
19,5.934041109867394e-05,0.0001235029340023175
20,5.096355016576126e-05,0.00011372225708328187
21,4.4851094571640715e-05,0.00013791419041808695
22,3.936990106012672e-05,0.00010051673598354682
23,3.680692316265777e-05,0.00020487279107328504
24,3.541755359037779e-05,5.83654000365641e-05
25,4.2079947888851166e-05,0.0002316251484444365
26,3.55309784936253e-05,4.390008689370006e-05
27,3.0334593247971497e-05,0.0007083353702910244
28,7.339225703617558e-05,0.00010178841330343857
29,5.64663132536225e-05,4.41582415078301e-05
30,3.8129477616166696e-05,9.256410703528672e-05
31,4.0257698856294155e-05,4.2608015064615756e-05
32,3.9815455238567665e-05,0.00013841918553225696
33,4.7435933083761483e-05,4.377978984848596e-05
34,3.993806240032427e-05,0.00012088227231288329
35,4.4481814256869256e-05,4.826354415854439e-05
36,3.957806620746851e-05,9.016218245960772e-05
37,4.752043605549261e-05,5.404552575782873e-05
38,3.669782017823309e-05,5.750021955464035e-05
39,4.588607407640666e-05,5.9906964452238753e-05
40,3.647895573521964e-05,4.810427708434872e-05
41,4.660612466977909e-05,7.466295210178941e-05
,loss_Bidirectional LSTM,val_loss_Bidirectional LSTM
0,0.013425457291305065,0.023839786648750305
1,0.003764524357393384,0.006119429133832455
2,0.0013129732105880976,0.0019848800729960203
3,0.0005877036019228399,0.000536633946467191
4,0.00032805476803332567,0.0005438383668661118
5,0.00026366818929091096,0.0006226907134987414
6,0.00026214090758003294,0.00037817691918462515
7,0.00023598989355377853,0.0002328218542970717
8,0.00019004572823178023,0.00021068283240310848
9,0.00013505396782420576,0.0002663412597030401
10,8.882128895493224e-05,0.0004975560586899519
11,0.00012037516717100516,0.00029247294878587127
12,0.00023234520631376654,0.00012841001444030553
13,0.00011716745211742818,0.0001712110679363832
14,0.0001243546576006338,9.545475768391043e-05
15,0.00013550510630011559,0.00018351731705479324
16,0.00015947951760608703,7.297549018403515e-05
17,0.00011563100997591391,0.00016061005590017885
18,0.00013636957737617195,6.908751674927771e-05
19,0.00011202441237401217,0.00013705277524422854
20,0.00013517179468180984,5.5557167797815055e-05
21,0.00010543988173594698,0.00012056317063979805
22,0.00011733293649740517,7.441125490004197e-05
23,9.371002670377493e-05,0.00010028896940639243
24,0.00013710263010580093,5.950490231043659e-05
25,8.712382259545848e-05,9.278680954594165e-05
26,0.00010486286919331178,4.6312496124301106e-05
27,9.125052747549489e-05,0.00010572292376309633
28,0.00011487900337669998,4.7181860281853005e-05
29,8.638373401481658e-05,8.084799628704786e-05
30,8.516952220816165e-05,4.626494774129242e-05
31,8.126039028866217e-05,0.00014152964286040515
32,0.00014774242299608886,4.868875112151727e-05
33,7.856241427361965e-05,6.427605694625527e-05
34,5.2409875934245065e-05,3.2719231967348605e-05
35,7.38460585125722e-05,8.67984927026555e-05
36,0.0001285858452320099,4.631169213098474e-05
37,7.83229261287488e-05,7.630797335878015e-05
38,4.7641529818065464e-05,9.300815145252272e-05
39,8.085800800472498e-05,0.00012272130697965622
40,0.00013698752445634454,5.345522367861122e-05
41,7.477921462850645e-05,6.002739610266872e-05
42,3.975946310674772e-05,0.00011440178059274331
43,7.209924660855904e-05,9.190611308440566e-05
44,0.00010379922605352476,5.492804484674707e-05
