,loss_Bidirectional LSTM,val_loss_Bidirectional LSTM
0,0.0033408566378057003,0.010166683234274387
1,0.0016609580488875508,0.003133684629574418
2,0.0007793385302647948,0.0009917601710185409
3,0.0004072328738402575,0.0004364177002571523
4,0.00027451981441117823,0.0004885481321252882
5,0.00023900360974948853,0.00045647655497305095
6,0.0002000907843466848,0.0004025133093819022
7,0.00016765129112172872,0.00033990724477916956
8,0.00013964905519969761,0.00027795325149782
9,0.00011413029278628528,0.0002503716677892953
10,8.941227861214429e-05,0.0003266205603722483
11,6.0118090914329514e-05,0.0005575860850512981
12,5.65181253477931e-05,0.00016504059021826833
13,6.586269591934979e-05,0.000499418587423861
14,9.484731708653271e-05,9.924648475134745e-05
15,3.1673804187448695e-05,0.00021794741041958332
16,2.657882396306377e-05,0.00020880311785731465
17,2.3342014173977077e-05,0.00031478627352043986
18,0.00012471860100049525,8.766320388531312e-05
19,2.119030432368163e-05,0.00013740643044002354
20,1.9266373783466406e-05,0.00015115812129806727
21,2.877430415537674e-05,0.00015343594714067876
22,3.162422581226565e-05,0.00067154411226511
23,0.0001682303409324959,8.320303459186107e-05
24,1.95218908629613e-05,0.00010809786908794194
25,2.1947505956632085e-05,0.00012116533616790548
26,1.7664900951785967e-05,0.00011905239807674661
27,5.131603029440157e-05,8.82474341779016e-05
28,1.81281484401552e-05,0.00020951518672518432
29,0.0001249517808901146,6.835890235379338e-05
30,1.4492589798464905e-05,8.971909119281918e-05
31,2.1569370801444165e-05,9.974859131034464e-05
32,1.996695573325269e-05,0.0002485382428858429
33,0.00013410723477136344,6.812455831095576e-05
34,1.675211933616083e-05,7.702297443756834e-05
35,2.9361299311858602e-05,8.511632040608674e-05
36,2.656312244653236e-05,0.00018307185382582247
37,0.00010995072807418182,5.901212352910079e-05
38,1.656068707234226e-05,6.936700810911134e-05
39,3.5375745937926695e-05,6.962016050238162e-05
40,2.665143802005332e-05,0.00015408771287184209
41,9.639722702559084e-05,5.1463182899169624e-05
42,1.5538031220785342e-05,6.341710832202807e-05
43,3.7575518945232034e-05,6.059170846128836e-05
44,2.6792698918143287e-05,0.00013959860370960087
45,8.991316281026229e-05,4.640053157345392e-05
46,1.4628936696681194e-05,5.8005156461149454e-05
47,3.810134876403026e-05,5.418586079031229e-05
48,2.370470429013949e-05,0.00012416626850608736
49,8.796882320893928e-05,4.305928450776264e-05
50,1.4311319318949245e-05,5.250568574410863e-05
51,3.736146027222276e-05,4.9996539019048214e-05
52,2.213585321442224e-05,0.0001145625501521863
53,8.562026778236032e-05,3.9508235204266384e-05
54,1.3861248589819297e-05,4.904904926661402e-05
55,3.71117057511583e-05,4.594082565745339e-05
56,2.0517412849585526e-05,0.00010663631110219285
57,8.330017590196803e-05,3.632203515735455e-05
58,1.36277367346338e-05,4.608467861544341e-05
59,3.6365745472721756e-05,4.2521867726463825e-05
60,2.0747960661537945e-05,0.00010607003059703857
61,8.01661008154042e-05,3.397494219825603e-05
62,1.376153977616923e-05,4.5099986891727895e-05
63,3.714983904501423e-05,3.8675545511068776e-05
64,1.912078914756421e-05,9.819302067626268e-05
65,7.622184784850106e-05,3.190125062246807e-05
66,1.406229603162501e-05,4.4948377762921154e-05
67,3.7555189919658005e-05,3.56079799530562e-05
68,1.959529436135199e-05,9.759951353771612e-05
69,7.171974721131846e-05,3.032110726053361e-05
70,1.4652977370133158e-05,4.684810119215399e-05
71,3.850631765089929e-05,3.2752443075878546e-05
72,1.9610639355960302e-05,9.576902084518224e-05
73,6.683058018097654e-05,2.925728404079564e-05
74,1.5789901226526126e-05,5.139946733834222e-05
75,3.95456409023609e-05,3.0437493478530087e-05
76,2.1255098545225337e-05,9.777558443602175e-05
77,6.136679439805448e-05,2.8346452381811105e-05
78,1.6543976016691886e-05,5.777733531431295e-05
79,4.152585461270064e-05,2.8752770958817564e-05
80,2.0788080291822553e-05,9.595792653271928e-05
81,5.7252836995758116e-05,2.7809594030259177e-05
82,1.8027090845862404e-05,6.591223791474476e-05
83,4.236650056554936e-05,2.7817626687465236e-05
84,2.156549999199342e-05,9.715485794004053e-05
85,5.309172047418542e-05,2.7274980311631225e-05
86,1.9767205230891705e-05,7.636670488864183e-05
87,4.303578316466883e-05,2.712518471525982e-05
88,2.1968180590192787e-05,9.847529145190492e-05
89,4.952655581291765e-05,2.6801861167768948e-05
90,2.0905796191073023e-05,8.643958426546305e-05
91,4.335266930866055e-05,2.6716519641922787e-05
92,2.2792764866608195e-05,0.000102476857136935
93,4.647014429792762e-05,2.6535270080785267e-05
94,2.21157224586932e-05,9.73784044617787e-05
95,4.323966277297586e-05,2.660179052327294e-05
96,2.3342352506006137e-05,0.00010750471847131848
97,4.4234049710212275e-05,2.6626579710864462e-05
98,2.3134551156545058e-05,0.00010748607746791095
99,4.26988881372381e-05,2.6859632271225564e-05
