,loss_Bidirectional LSTM,val_loss_Bidirectional LSTM
0,0.00811306107789278,0.0030981115996837616
1,0.0006574744475074112,0.0006207888363860548
2,0.00019456907466519624,0.0004861493071075529
3,0.000194989814190194,0.0004188678285572678
4,0.00030108762439340353,0.0022185021080076694
5,0.00012329027231317014,0.00025816011475399137
6,0.00034797267289832234,0.005221291445195675
7,0.0002288864052388817,0.00101065868511796
8,0.00020659458823502064,0.0005185076151974499
9,0.00016306467296089977,0.00028084934456273913
10,0.00022656333749182522,0.0008711143163964152
11,0.00021051439398434013,0.0011022931430488825
12,0.0001793329865904525,0.0007715320098213851
13,0.0001734936813591048,0.0005891221226193011
14,0.00016497314209118485,0.0005313143483363092
15,0.0001642099960008636,0.0005283596110530198
