,Time (d),NH4_meas (gNm3),NH4_pred (gN/m3)
144,496.3125,0.604455588,0.5823344
145,496.375,0.6035002970000001,0.5823212
146,496.4375,0.600940079,0.58213425
147,496.5,0.596337807,0.58344185
148,496.5625,0.5919769420000001,0.5803576
149,496.625,0.592149632,0.57719326
150,496.6875,0.597285348,0.5769469
151,496.75,0.6041126520000001,0.5789356
152,496.8125,0.61036592,0.5833448
153,496.875,0.61461821,0.58867466
154,496.9375,0.617400816,0.59162056
155,497.0,0.621282499,0.5942609
156,497.0625,0.626968972,0.5955168
157,497.125,0.633139579,0.5979328
158,497.1875,0.637631598,0.5998049
159,497.25,0.639027009,0.60125107
160,497.3125,0.636635437,0.60352665
161,497.375,0.6307688570000001,0.60264254
162,497.4375,0.622707094,0.6017344
163,497.5,0.613837527,0.6032281
164,497.5625,0.606934588,0.59930027
165,497.625,0.607070136,0.5967032
166,497.6875,0.615444703,0.59748924
167,497.75,0.628667866,0.605533
168,497.8125,0.642118334,0.6154098
169,497.875,0.653868,0.6280788
170,497.9375,0.6639003529999999,0.635595
171,498.0,0.674744855,0.6416623
172,498.0625,0.68591375,0.6504682
173,498.125,0.694901628,0.6592123
174,498.1875,0.702130206,0.66360086
175,498.25,0.707837492,0.6647036
176,498.3125,0.708590728,0.66740745
177,498.375,0.701276175,0.66504365
178,498.4375,0.686495355,0.6637133
179,498.5,0.667816771,0.6596619
180,498.5625,0.652808631,0.64908624
181,498.625,0.649754842,0.6370009
182,498.6875,0.659670027,0.6335394
183,498.75,0.675334688,0.6415222
184,498.8125,0.6891518109999999,0.6551081
185,498.875,0.6995566540000001,0.6686148
186,498.9375,0.7092859490000001,0.6803096
187,499.0,0.723880454,0.68764967
188,499.0625,0.7464308470000001,0.69469035
189,499.125,0.7693454720000001,0.71501946
190,499.1875,0.782488225,0.73085517
191,499.25,0.7878468279999999,0.73809874
192,499.3125,0.7863889340000001,0.73776776
193,499.375,0.7740753890000001,0.7347645
194,499.4375,0.7486393339999999,0.73429996
195,499.5,0.717327742,0.7238357
196,499.5625,0.696718616,0.70498735
197,499.625,0.698416395,0.6841337
198,499.6875,0.7188264649999999,0.6821692
199,499.75,0.740844176,0.69533646
200,499.8125,0.75204507,0.7119918
201,499.875,0.7517234359999999,0.7256788
202,499.9375,0.749224729,0.73052067
203,500.0,0.7566705509999998,0.7308143
204,500.0625,0.778819866,0.7295302
205,500.125,0.806811743,0.7398386
206,500.1875,0.8212914910000001,0.7582892
207,500.25,0.8137664230000001,0.76580065
208,500.3125,0.790951774,0.75643736
209,500.375,0.761210685,0.73753774
210,500.4375,0.7283655720000001,0.7202445
211,500.5,0.6972125459999999,0.7022043
212,500.5625,0.675079595,0.67944825
213,500.625,0.668054264,0.6601348
214,500.6875,0.674287135,0.65604657
215,500.75,0.685852267,0.6613782
216,500.8125,0.697947435,0.6766198
217,500.875,0.7097142040000001,0.6949468
218,500.9375,0.7289344509999999,0.71023625
219,501.0,0.765160175,0.722274
220,501.0625,0.811413922,0.74985963
221,501.125,0.846973056,0.781847
222,501.1875,0.861542435,0.8054337
223,501.25,0.8537798529999999,0.81310904
224,501.3125,0.8280482720000001,0.80212986
225,501.375,0.789877918,0.78469616
226,501.4375,0.746073412,0.7662559
227,501.5,0.7092132,0.74027807
228,501.5625,0.69207759,0.7116038
229,501.625,0.69813419,0.69864875
230,501.6875,0.718511507,0.7041867
231,501.75,0.742356995,0.7184334
232,501.8125,0.76097547,0.73869276
233,501.875,0.768402365,0.76080006
234,501.9375,0.773022325,0.76725435
235,502.0,0.7866516819999999,0.7657018
236,502.0625,0.8036708220000001,0.7717808
237,502.125,0.8102551709999998,0.7843318
238,502.1875,0.803499577,0.7867739
239,502.25,0.7888845,0.77599394
240,502.3125,0.7680462809999999,0.7616807
241,502.375,0.739175977,0.74214983
242,502.4375,0.7038307309999999,0.73083466
243,502.5,0.670796808,0.7075463
244,502.5625,0.6530040420000001,0.68351567
245,502.625,0.654044899,0.6731008
246,502.6875,0.668152477,0.66766757
247,502.75,0.68626705,0.66951907
248,502.8125,0.693223817,0.67779624
249,502.875,0.681874814,0.6857188
250,502.9375,0.663364956,0.6741103
251,503.0,0.652114747,0.65627354
252,503.0625,0.648174571,0.6459816
253,503.125,0.645185154,0.6362015
254,503.1875,0.640455286,0.62738174
255,503.25,0.632067406,0.6187229
256,503.3125,0.619745538,0.6078282
257,503.375,0.604853805,0.5961947
258,503.4375,0.588422252,0.5873263
259,503.5,0.57219846,0.5801626
260,503.5625,0.559005297,0.56811064
261,503.625,0.551890518,0.5580047
262,503.6875,0.550686207,0.5524864
263,503.75,0.552672556,0.55135113
264,503.8125,0.555320219,0.5522658
265,503.875,0.5575687220000001,0.55388886
266,503.9375,0.559056233,0.55788183
267,504.0,0.560275191,0.5616337
268,504.0625,0.563328237,0.56089145
269,504.125,0.569475327,0.5600865
270,504.1875,0.576379044,0.5624061
271,504.25,0.579934294,0.5684538
272,504.3125,0.579137056,0.56988025
273,504.375,0.576055897,0.5685827
274,504.4375,0.5714258560000001,0.56963164
275,504.5,0.564923763,0.5715424
276,504.5625,0.559330997,0.56989866
277,504.625,0.560304203,0.56796056
278,504.6875,0.570327001,0.56754416
279,504.75,0.586458529,0.5751796
280,504.8125,0.603023092,0.58918387
281,504.875,0.616258381,0.60533404
282,504.9375,0.6300641,0.6216812
283,505.0,0.65318809,0.6366685
284,505.0625,0.6915035340000001,0.65891045
285,505.125,0.7407917829999999,0.6865216
286,505.1875,0.789005663,0.71854556
287,505.25,0.8149329909999998,0.7512396
288,505.3125,0.8062152190000001,0.76948833
289,505.375,0.7693080720000001,0.7717123
290,505.4375,0.724227979,0.7473306
291,505.5,0.6885855609999999,0.72309303
292,505.5625,0.671889803,0.70796835
293,505.625,0.6866597520000001,0.6893791
294,505.6875,0.7311495379999999,0.7008631
295,505.75,0.772559326,0.7328823
296,505.8125,0.7932812920000001,0.76399827
297,505.875,0.7936942490000001,0.78193897
298,505.9375,0.785351354,0.7758308
299,506.0,0.7792246959999999,0.7638808
300,506.0625,0.7724868,0.75746214
301,506.125,0.762417455,0.7486972
302,506.1875,0.751725358,0.7361762
303,506.25,0.738858219,0.7244243
304,506.3125,0.72095887,0.70829904
305,506.375,0.698004886,0.6909943
306,506.4375,0.670915487,0.67141575
307,506.5,0.642967011,0.65308493
308,506.5625,0.619419687,0.63035816
309,506.625,0.605174625,0.61160195
310,506.6875,0.600997106,0.59844667
311,506.75,0.603656799,0.5939155
312,506.8125,0.6085527279999999,0.59988266
313,506.875,0.6131682039999999,0.60661066
314,506.9375,0.62071518,0.6110522
315,507.0,0.634698565,0.6168021
